condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,300,11,0.03666666666666667,0.010850840554571832,6.0,1.513876931775746,0.0033333333333333335
valid,5.0,,,,300,29,0.09666666666666666,0.017060893120645064,7.0,0.7177095617928018,0.0033333333333333335
valid,9.0,,,,300,73,0.24333333333333335,0.024773791408275413,4.0,0.47033306955001075,0.0033333333333333335
valid,14.0,,,,300,220,0.7333333333333333,0.02553138954016902,3.0,0.20491419119540355,0.0033333333333333335
valid,20.0,,,,300,294,0.98,0.008082903768654764,2.0,0.093037940623061,0.0033333333333333335
valid,30.0,,,,300,299,0.9966666666666667,0.0033277731404159692,2.0,0.04090175783338664,0.0033333333333333335
valid,44.0,,,,300,297,0.99,0.005744562646538031,1.0,0.035586713189593666,0.01
valid,64.0,,,,300,298,0.9933333333333333,0.004698305447081342,2.0,0.06541679006450991,0.006666666666666667
invalid,2.0,,,,300,11,0.03666666666666667,0.010850840554571832,6.0,1.4147474170836247,0.0033333333333333335
invalid,5.0,,,,300,26,0.08666666666666667,0.01624351722539955,8.0,0.826739981291311,0.006666666666666667
invalid,9.0,,,,300,67,0.22333333333333333,0.024045481596033487,6.0,0.4892352771116956,0.006666666666666667
invalid,14.0,,,,300,198,0.66,0.027349588662354686,3.0,0.21279293303482344,0.0
invalid,20.0,,,,300,285,0.95,0.012583057392117921,3.0,0.1179421091947849,0.0
invalid,30.0,,,,300,298,0.9933333333333333,0.004698305447081342,2.0,0.038780037565458746,0.006666666666666667
invalid,44.0,,,,300,300,1.0,0.0,2.0,0.037037002341893985,0.0
invalid,64.0,,,,300,295,0.9833333333333333,0.007391185942027828,2.0,0.07319640330421107,0.006666666666666667
