mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
,,blue,1,256,30,0.1171875,0.020102723486561426,11.0,0.8551130662018686,0.0
,,green,3,256,90,0.3515625,0.029841135919135786,8.0,0.43554324907097614,0.0
,,red,5,256,136,0.53125,0.031188905122404905,7.0,0.3375440822857857,0.0
