model,displayed_validity,magnitude,condition,response_count,response_rate,mean_rt,false_alarm_rate,dprime,criterion
vda4_crossattn1_grid10x10_seed0,0.25,0.0,valid,17,0.056666666666666664,5.352941176470588,0.07,-0.10535123588189621,1.517909410626471
vda4_crossattn1_grid10x10_seed0,0.25,0.0,invalid,13,0.043333333333333335,5.230769230769231,0.07,-0.2317432723565349,1.5811054288637905
vda4_crossattn1_grid10x10_seed0,0.25,3.0,valid,28,0.09333333333333334,5.392857142857143,0.07,0.15278505258506092,1.3888412663929925
vda4_crossattn1_grid10x10_seed0,0.25,3.0,invalid,23,0.07666666666666666,5.260869565217392,0.07,0.04708106333365869,1.4416932610186937
vda4_crossattn1_grid10x10_seed0,0.25,6.0,valid,61,0.20333333333333334,5.442622950819672,0.07,0.6389407404427604,1.1457634224641429
vda4_crossattn1_grid10x10_seed0,0.25,6.0,invalid,37,0.12333333333333334,5.405405405405405,0.07,0.31286469814789797,1.308801443611574
vda4_crossattn1_grid10x10_seed0,0.25,9.0,valid,99,0.33,5.343434343434343,0.07,1.02687962917129,0.951793978099878
vda4_crossattn1_grid10x10_seed0,0.25,9.0,invalid,52,0.17333333333333334,5.4423076923076925,0.07,0.5283866843271544,1.2010404505219459
vda4_crossattn1_grid10x10_seed0,0.25,12.0,valid,163,0.5433333333333333,5.355828220858895,0.07,1.5737058276627207,0.6783808788541626
vda4_crossattn1_grid10x10_seed0,0.25,12.0,invalid,105,0.35,5.419047619047619,0.07,1.0812583889977043,0.9246045981866708
vda4_crossattn1_grid10x10_seed0,0.25,15.0,valid,222,0.74,5.2657657657657655,0.07,2.1061229754591553,0.41217230495594537
vda4_crossattn1_grid10x10_seed0,0.25,15.0,invalid,150,0.5,5.366666666666666,0.07,1.465233792685523,0.7326168963427615
vda4_crossattn1_grid10x10_seed0,0.25,18.0,valid,257,0.8566666666666667,5.217898832684825,0.07,2.5254713366636277,0.20249812435370917
vda4_crossattn1_grid10x10_seed0,0.25,18.0,invalid,202,0.6733333333333333,5.306930693069307,0.07,1.912774019551589,0.5088467829097285
vda4_crossattn1_grid10x10_seed0,0.25,22.0,valid,290,0.9666666666666667,5.117241379310345,0.07,3.2786513613595583,-0.17409188799425612
vda4_crossattn1_grid10x10_seed0,0.25,22.0,invalid,267,0.89,5.239700374531835,0.07,2.6849001971692243,0.12278369410091083
vda4_crossattn1_grid10x10_seed0,0.25,26.0,valid,296,0.9866666666666667,5.047297297297297,0.07,3.6366419580426106,-0.3530871863357823
vda4_crossattn1_grid10x10_seed0,0.25,26.0,invalid,291,0.97,5.154639175257732,0.07,3.3235584553189894,-0.1965454349739717
vda4_crossattn1_grid10x10_seed0,0.25,30.0,valid,300,1.0,5.016666666666667,0.07,4.401465641503039,-0.7354990280659963
vda4_crossattn1_grid10x10_seed0,0.25,30.0,invalid,300,1.0,5.056666666666667,0.07,4.401465641503039,-0.7354990280659963
vda4_crossattn1_grid10x10_seed0,0.5,0.0,valid,25,0.08333333333333333,5.32,0.08333333333333333,0.0,1.3740208295934986
vda4_crossattn1_grid10x10_seed0,0.5,0.0,invalid,25,0.08333333333333333,5.32,0.08333333333333333,0.0,1.3740208295934986
vda4_crossattn1_grid10x10_seed0,0.5,3.0,valid,25,0.08333333333333333,5.36,0.08333333333333333,0.0,1.3740208295934986
vda4_crossattn1_grid10x10_seed0,0.5,3.0,invalid,19,0.06333333333333334,5.421052631578948,0.08333333333333333,-0.14178638869049198,1.4449140239387446
vda4_crossattn1_grid10x10_seed0,0.5,6.0,valid,71,0.23666666666666666,5.436619718309859,0.08333333333333333,0.6597877361282705,1.0441269615293634
vda4_crossattn1_grid10x10_seed0,0.5,6.0,invalid,24,0.08,5.291666666666667,0.08333333333333333,-0.021726163356168948,1.384883911271583
vda4_crossattn1_grid10x10_seed0,0.5,9.0,valid,104,0.3466666666666667,5.375,0.08333333333333333,0.9810650732384654,0.8834882929742659
vda4_crossattn1_grid10x10_seed0,0.5,9.0,invalid,79,0.2633333333333333,5.493670886075949,0.08333333333333333,0.7433246578344122,1.0023585006762925
vda4_crossattn1_grid10x10_seed0,0.5,12.0,valid,170,0.5666666666666667,5.311764705882353,0.08333333333333333,1.5413518028621493,0.6033449281624239
vda4_crossattn1_grid10x10_seed0,0.5,12.0,invalid,100,0.3333333333333333,5.5,0.08333333333333333,0.9448158869901915,0.9016128860984028
vda4_crossattn1_grid10x10_seed0,0.5,15.0,valid,223,0.7433333333333333,5.273542600896861,0.08333333333333333,2.025170049998367,0.36143580459431507
vda4_crossattn1_grid10x10_seed0,0.5,15.0,invalid,140,0.4666666666666667,5.464285714285714,0.08333333333333333,1.2906476543317311,0.728697002427633
vda4_crossattn1_grid10x10_seed0,0.5,18.0,valid,274,0.9133333333333333,5.189781021897811,0.08333333333333333,2.726945383683189,0.010548137751903996
vda4_crossattn1_grid10x10_seed0,0.5,18.0,invalid,198,0.66,5.313131313131313,0.08333333333333333,1.785033665114553,0.48150399703622204
vda4_crossattn1_grid10x10_seed0,0.5,22.0,valid,291,0.97,5.0756013745704465,0.08333333333333333,3.232345492226965,-0.2421519165199839
vda4_crossattn1_grid10x10_seed0,0.5,22.0,invalid,266,0.8866666666666667,5.2443609022556394,0.08333333333333333,2.5763503589535945,0.08584565011670131
vda4_crossattn1_grid10x10_seed0,0.5,26.0,valid,299,0.9966666666666667,5.040133779264214,0.08333333333333333,3.9510006325101052,-0.601479486661554
vda4_crossattn1_grid10x10_seed0,0.5,26.0,invalid,289,0.9633333333333334,5.145328719723183,0.08333333333333333,3.145916000864047,-0.1989371708385249
vda4_crossattn1_grid10x10_seed0,0.5,30.0,valid,300,1.0,5.0,0.08333333333333333,4.310252678411015,-0.7811055096120085
vda4_crossattn1_grid10x10_seed0,0.5,30.0,invalid,297,0.99,5.063973063973064,0.08333333333333333,3.6432266258784614,-0.4475924833457321
