model,displayed_validity,magnitude,condition,response_count,response_rate,mean_rt,false_alarm_rate,dprime,criterion
vda4_crossattn1_grid10x10_seed1,0.25,0.0,valid,26,0.08666666666666667,5.384615384615385,0.09,-0.02051076213563774,1.3426691730218718
vda4_crossattn1_grid10x10_seed1,0.25,0.0,invalid,24,0.08,5.416666666666667,0.09,-0.06333320099561468,1.3640803924518603
vda4_crossattn1_grid10x10_seed1,0.25,3.0,valid,29,0.09666666666666666,5.241379310344827,0.09,0.039420239405130175,1.3127036722514878
vda4_crossattn1_grid10x10_seed1,0.25,3.0,invalid,35,0.11666666666666667,5.257142857142857,0.09,0.14706709806158047,1.2588802429232626
vda4_crossattn1_grid10x10_seed1,0.25,6.0,valid,71,0.23666666666666666,5.352112676056338,0.09,0.6181806984888247,1.0233234427096405
vda4_crossattn1_grid10x10_seed1,0.25,6.0,invalid,56,0.18666666666666668,5.375,0.09,0.44603841355824114,1.1093945851749323
vda4_crossattn1_grid10x10_seed1,0.25,9.0,valid,103,0.3433333333333333,5.359223300970874,0.09,0.930445879426042,0.8671908522410319
vda4_crossattn1_grid10x10_seed1,0.25,9.0,invalid,100,0.3333333333333333,5.37,0.09,0.9032088493507457,0.88080936727868
vda4_crossattn1_grid10x10_seed1,0.25,12.0,valid,171,0.57,5.309941520467836,0.09,1.508195912969721,0.5783158354691923
vda4_crossattn1_grid10x10_seed1,0.25,12.0,invalid,164,0.5466666666666666,5.371951219512195,0.09,1.4492665386703847,0.6077805226188605
vda4_crossattn1_grid10x10_seed1,0.25,15.0,valid,230,0.7666666666666667,5.239130434782608,0.09,2.057435784971285,0.3036958994684102
vda4_crossattn1_grid10x10_seed1,0.25,15.0,invalid,204,0.68,5.28921568627451,0.09,1.7984410169868137,0.433193283460646
vda4_crossattn1_grid10x10_seed1,0.25,18.0,valid,254,0.8466666666666667,5.181102362204724,0.09,2.3497992445761877,0.1575141696659591
vda4_crossattn1_grid10x10_seed1,0.25,18.0,invalid,248,0.8266666666666667,5.266129032258065,0.09,2.2692609003124216,0.19778334179784213
vda4_crossattn1_grid10x10_seed1,0.25,22.0,valid,293,0.9766666666666667,5.088737201365188,0.09,3.293800863010677,-0.31448663955128586
vda4_crossattn1_grid10x10_seed1,0.25,22.0,invalid,288,0.96,5.125,0.09,3.065634327403708,-0.2004033717478012
vda4_crossattn1_grid10x10_seed1,0.25,26.0,valid,298,0.9933333333333333,5.026845637583893,0.09,3.7276139226851632,-0.5313931693885288
vda4_crossattn1_grid10x10_seed1,0.25,26.0,invalid,300,1.0,5.053333333333334,0.09,4.2686456407715685,-0.8019090284317314
