model,role,dose,condition,response_rate,mean_rt,dprime,criterion,achieved_change_mass_t5,achieved_change_mass_t6
vda4_crossattn1_grid2x2_seed1,change,0.0,valid,1.0,5.008,4.222387136912361,-0.7682272135709037,0.0009009886998683214,0.32920846343040466
vda4_crossattn1_grid2x2_seed1,change,0.0,invalid,0.956,5.071129707112971,3.0298097634875156,-0.1719385268584812,0.0009009886998683214,0.32920846343040466
vda4_crossattn1_grid2x2_seed1,change,0.0,nochange,0.088,5.5,,,0.0009009886998683214,0.32920846343040466
vda4_crossattn1_grid2x2_seed1,change,0.25,valid,1.0,5.008,4.222387136912361,-0.7682272135709037,0.017709283158183098,0.7475499510765076
vda4_crossattn1_grid2x2_seed1,change,0.25,invalid,0.984,5.097560975609756,3.441516515816602,-0.37779190302302446,0.017709283158183098,0.7475499510765076
vda4_crossattn1_grid2x2_seed1,change,0.25,nochange,0.088,5.5,,,0.017709283158183098,0.7475499510765076
vda4_crossattn1_grid2x2_seed1,change,0.5,valid,1.0,5.008,4.300208487167412,-0.7293165384433781,0.25405752658843994,0.9583520293235779
vda4_crossattn1_grid2x2_seed1,change,0.5,invalid,1.0,5.104,4.300208487167412,-0.7293165384433781,0.25405752658843994,0.9583520293235779
vda4_crossattn1_grid2x2_seed1,change,0.5,nochange,0.076,5.421052631578948,,,0.25405752658843994,0.9583520293235779
vda4_crossattn1_grid2x2_seed1,change,0.75,valid,1.0,5.012,4.328160233492694,-0.7153406652807368,0.8553723692893982,0.9974274635314941
vda4_crossattn1_grid2x2_seed1,change,0.75,invalid,1.0,5.072,4.328160233492694,-0.7153406652807368,0.8553723692893982,0.9974274635314941
vda4_crossattn1_grid2x2_seed1,change,0.75,nochange,0.072,5.444444444444445,,,0.8553723692893982,0.9974274635314941
vda4_crossattn1_grid2x2_seed1,change,1.0,valid,1.0,5.016,4.300208487167412,-0.7293165384433781,0.9913499355316162,0.9998716115951538
vda4_crossattn1_grid2x2_seed1,change,1.0,invalid,1.0,5.068,4.300208487167412,-0.7293165384433781,0.9913499355316162,0.9998716115951538
vda4_crossattn1_grid2x2_seed1,change,1.0,nochange,0.076,5.368421052631579,,,0.9913499355316162,0.9998716115951538
vda4_crossattn1_grid2x2_seed1,cued,0.0,valid,1.0,5.012,4.300208487167412,-0.7293165384433781,0.345731645822525,0.9706557989120483
vda4_crossattn1_grid2x2_seed1,cued,0.0,invalid,1.0,5.092,4.300208487167412,-0.7293165384433781,0.345731645822525,0.9706557989120483
vda4_crossattn1_grid2x2_seed1,cued,0.0,nochange,0.076,5.315789473684211,,,0.345731645822525,0.9706557989120483
vda4_crossattn1_grid2x2_seed1,cued,0.25,valid,1.0,5.012,4.300208487167412,-0.7293165384433781,0.3394721448421478,0.970172643661499
vda4_crossattn1_grid2x2_seed1,cued,0.25,invalid,1.0,5.092,4.300208487167412,-0.7293165384433781,0.3394721448421478,0.970172643661499
vda4_crossattn1_grid2x2_seed1,cued,0.25,nochange,0.076,5.315789473684211,,,0.3394721448421478,0.970172643661499
vda4_crossattn1_grid2x2_seed1,cued,0.5,valid,1.0,5.008,4.300208487167412,-0.7293165384433781,0.25405752658843994,0.9583520293235779
vda4_crossattn1_grid2x2_seed1,cued,0.5,invalid,1.0,5.104,4.300208487167412,-0.7293165384433781,0.25405752658843994,0.9583520293235779
vda4_crossattn1_grid2x2_seed1,cued,0.5,nochange,0.076,5.421052631578948,,,0.25405752658843994,0.9583520293235779
vda4_crossattn1_grid2x2_seed1,cued,0.75,valid,1.0,5.008,4.17471392572086,-0.7920638191666542,0.04931448772549629,0.8073655366897583
vda4_crossattn1_grid2x2_seed1,cued,0.75,invalid,0.988,5.093117408906883,3.494145163381933,-0.4517794379971909,0.04931448772549629,0.8073655366897583
vda4_crossattn1_grid2x2_seed1,cued,0.75,nochange,0.096,5.541666666666667,,,0.04931448772549629,0.8073655366897583
vda4_crossattn1_grid2x2_seed1,cued,1.0,valid,1.0,5.012,4.108282901981299,-0.8252793310364341,0.0029907142743468285,0.41884973645210266
vda4_crossattn1_grid2x2_seed1,cued,1.0,invalid,0.96,5.0625,2.9586659012261887,-0.25047083065887854,0.0029907142743468285,0.41884973645210266
