mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
,0.25,,,256,235,0.91796875,0.017150770302425275,4.0,0.23925895881336817,0.00390625
,0.5,,,256,241,0.94140625,0.014678923355036537,3.0,0.24732199841792216,0.0
,0.75,,,256,235,0.91796875,0.017150770302425275,4.0,0.2641247922503001,0.0
,1.0,,,256,230,0.8984375,0.01887950676677852,4.0,0.26911561076473994,0.00390625
