condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,256,8,0.03125,0.010874539771152386,11.0,1.4432943820834296,0.00390625
valid,5.0,,,,256,35,0.13671875,0.02147188690678224,9.0,0.6819495079611271,0.0
valid,9.0,,,,256,132,0.515625,0.031234737483827102,7.0,0.3602945844850637,0.0
valid,14.0,,,,256,232,0.90625,0.018217537213064093,3.0,0.2525458922712079,0.00390625
valid,20.0,,,,256,249,0.97265625,0.010192688352123096,2.0,0.1491089051490117,0.0
valid,30.0,,,,256,255,0.99609375,0.003898613140300613,1.0,0.06539937726687318,0.00390625
valid,44.0,,,,256,255,0.99609375,0.003898613140300613,0.0,0.04128655129487505,0.00390625
valid,64.0,,,,256,256,1.0,0.0,0.0,0.052270907908678055,0.0
invalid,2.0,,,,256,15,0.05859375,0.014678923355036537,9.0,1.2987101823695932,0.0
invalid,5.0,,,,256,18,0.0703125,0.01597955876167341,8.0,0.8238469204575584,0.0
invalid,9.0,,,,256,114,0.4453125,0.031062517438611176,7.0,0.4120079549857536,0.0
invalid,14.0,,,,256,213,0.83203125,0.023364908334889797,5.0,0.2855604988687608,0.0
invalid,20.0,,,,256,251,0.98046875,0.008648920695272632,2.0,0.15955243858211154,0.0
invalid,30.0,,,,256,256,1.0,0.0,1.0,0.08139796555042267,0.0
invalid,44.0,,,,256,256,1.0,0.0,0.0,0.044567327946424484,0.0
invalid,64.0,,,,256,256,1.0,0.0,0.0,0.07798565924167633,0.0
