condition,change_index,magnitude_degrees,response_rate,conditional_mean_response_frame,target_attention_t4_mean,target_attention_t4_sem,target_attention_t5_mean,target_attention_t5_sem
cued_top_left,0,2.0,0.02666666666666667,5.75,0.13977872509509326,0.004709138975369866,0.09297145033876102,0.004392756174217089
cued_top_left,0,6.0,0.10666666666666667,5.53125,0.1394588803872466,0.004389387277889461,0.0959969908495744,0.004400358706933157
cued_top_left,0,10.0,0.22,5.454545454545454,0.14697364532699186,0.005315102976040473,0.10072855663796267,0.004718122694579183
cued_top_left,0,14.0,0.36,5.5,0.13860716866950193,0.004553092204696812,0.09459100764865677,0.004498769747800784
cued_top_left,0,18.0,0.6533333333333333,5.4438775510204085,0.13912569942573708,0.004414196384816889,0.09426490501190225,0.004333577711814215
cued_top_left,0,22.0,0.8366666666666667,5.354581673306773,0.13582999081661304,0.00480915933540364,0.0950992518849671,0.004300162256664739
cued_top_left,0,26.0,0.8933333333333333,5.276119402985074,0.14978154253214598,0.005249418690892462,0.10405479876945416,0.004893884829383009
cued_top_left,0,30.0,0.9833333333333333,5.196610169491525,0.14765522087613742,0.004993644290314057,0.10224434101954102,0.0047609998553541245
cued_top_left,0,34.0,0.9933333333333333,5.100671140939597,0.1420300999780496,0.004703379078387304,0.096623824176689,0.004549525579238421
cued_top_left,0,38.0,1.0,5.053333333333334,0.14119657213489215,0.004218996341672658,0.10214594764014086,0.004470883523430211
forced_bottom_right,15,2.0,0.016666666666666666,5.4,0.059178972262889144,0.0007252136551982643,0.06234762677922845,0.000879836541321018
forced_bottom_right,15,6.0,0.04666666666666667,5.714285714285714,0.0587752799068888,0.0006965678526347752,0.06165659972156087,0.0008191020897671468
forced_bottom_right,15,10.0,0.06666666666666667,5.9,0.05661786445726951,0.0007171403336190679,0.05985311434914668,0.0008380229119983142
forced_bottom_right,15,14.0,0.08,5.958333333333333,0.057782765633116163,0.0006930959907250649,0.06126816286394993,0.0007370598073524523
forced_bottom_right,15,18.0,0.13,5.948717948717949,0.05753218101337552,0.0006698959524921087,0.06026207172622283,0.0006814824148807488
forced_bottom_right,15,22.0,0.26666666666666666,5.95,0.057972572272022564,0.0007426226770258923,0.06141723742087682,0.000807549692814218
forced_bottom_right,15,26.0,0.36666666666666664,5.9,0.05725984801227848,0.000697681517859052,0.059302872524907194,0.0006538367164911936
forced_bottom_right,15,30.0,0.49,5.959183673469388,0.058210766799747946,0.0007034117530691212,0.061671891920268535,0.0008999643682255886
forced_bottom_right,15,34.0,0.62,5.973118279569892,0.05851793235788743,0.0007020955311277873,0.0610551540988187,0.0007643253031138395
forced_bottom_right,15,38.0,0.6333333333333333,5.968421052631579,0.05673343973234296,0.0006568889755730639,0.059925014407684406,0.0007102607340035703
