intervention,magnitude,hit_rate,false_alarm_rate,dprime,criterion,mean_hit_frame,early_hit_fraction
natural,0.0,0.109375,0.0703125,0.25080208718673047,1.3237807459002897,3.4285714285714284,0.5714285714285714
natural,3.0,0.25,0.0703125,0.7867465219271363,1.0558085285300867,3.75,0.25
natural,6.0,0.40625,0.0703125,1.2156965311360375,0.8413335239256362,3.923076923076923,0.07692307692307693
natural,9.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.608695652173913,0.391304347826087
natural,12.0,0.875,0.0703125,2.571944087684596,0.16320974565135693,3.4642857142857144,0.5357142857142857
natural,18.0,0.984375,0.0703125,3.4431653953821977,-0.2724009081974439,3.253968253968254,0.746031746031746
natural,24.0,0.96875,0.0703125,3.218006828012361,-0.15982162451252546,3.2096774193548385,0.7903225806451613
natural,30.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.1956521739130435,0.8043478260869565
natural,35.0,0.546875,0.0703125,1.5651316140313993,0.6666159824779553,3.057142857142857,0.9428571428571428
tested_sample,0.0,0.109375,0.0703125,0.25080208718673047,1.3237807459002897,3.4285714285714284,0.5714285714285714
tested_sample,3.0,0.25,0.0703125,0.7867465219271363,1.0558085285300867,3.75,0.25
tested_sample,6.0,0.40625,0.0703125,1.2156965311360375,0.8413335239256362,3.923076923076923,0.07692307692307693
tested_sample,9.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.608695652173913,0.391304347826087
tested_sample,12.0,0.875,0.0703125,2.571944087684596,0.16320974565135693,3.4464285714285716,0.5535714285714286
tested_sample,18.0,0.984375,0.0703125,3.4431653953821977,-0.2724009081974439,3.253968253968254,0.746031746031746
tested_sample,24.0,0.96875,0.0703125,3.218006828012361,-0.15982162451252546,3.2096774193548385,0.7903225806451613
tested_sample,30.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.1956521739130435,0.8043478260869565
tested_sample,35.0,0.546875,0.0703125,1.5651316140313993,0.6666159824779553,3.057142857142857,0.9428571428571428
other_sample,0.0,0.109375,0.0703125,0.25080208718673047,1.3237807459002897,3.4285714285714284,0.5714285714285714
other_sample,3.0,0.25,0.0703125,0.7867465219271363,1.0558085285300867,3.75,0.25
other_sample,6.0,0.40625,0.0703125,1.2156965311360375,0.8413335239256362,3.923076923076923,0.07692307692307693
other_sample,9.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.608695652173913,0.391304347826087
other_sample,12.0,0.875,0.0703125,2.571944087684596,0.16320974565135693,3.4642857142857144,0.5357142857142857
other_sample,18.0,0.984375,0.0703125,3.4431653953821977,-0.2724009081974439,3.253968253968254,0.746031746031746
other_sample,24.0,0.96875,0.0703125,3.218006828012361,-0.15982162451252546,3.2096774193548385,0.7903225806451613
other_sample,30.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.1956521739130435,0.8043478260869565
other_sample,35.0,0.546875,0.0703125,1.5651316140313993,0.6666159824779553,3.057142857142857,0.9428571428571428
blank_control,0.0,0.109375,0.0703125,0.25080208718673047,1.3237807459002897,3.4285714285714284,0.5714285714285714
blank_control,3.0,0.25,0.0703125,0.7867465219271363,1.0558085285300867,3.75,0.25
blank_control,6.0,0.40625,0.0703125,1.2156965311360375,0.8413335239256362,3.923076923076923,0.07692307692307693
blank_control,9.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.608695652173913,0.391304347826087
blank_control,12.0,0.875,0.0703125,2.571944087684596,0.16320974565135693,3.4642857142857144,0.5357142857142857
blank_control,18.0,0.984375,0.0703125,3.4431653953821977,-0.2724009081974439,3.253968253968254,0.746031746031746
blank_control,24.0,0.96875,0.0703125,3.218006828012361,-0.15982162451252546,3.2096774193548385,0.7903225806451613
blank_control,30.0,0.71875,0.0703125,2.0183665387379914,0.43999852012465923,3.1956521739130435,0.8043478260869565
blank_control,35.0,0.546875,0.0703125,1.5651316140313993,0.6666159824779553,3.057142857142857,0.9428571428571428
