mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
,,blue,1,400,31,0.0775,0.013369157602481915,11.0,0.4659675546222545,0.0
,,green,3,400,310,0.775,0.02087911636061258,4.0,0.21321452168580757,0.0
,,red,5,400,307,0.7675,0.02112130145137842,5.0,0.22761521914455704,0.0025
