intervention,magnitude,hit_rate,false_alarm_rate,dprime,criterion,mean_hit_frame,early_hit_fraction
natural,0.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
natural,3.0,0.0,0.0,0.3116672524784494,1.4373851917838256,nan,nan
natural,6.0,0.25,0.0,1.0688183053150095,1.0588096653655454,4.0,0.0
natural,9.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.3333333333333335,0.6666666666666666
natural,12.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.6666666666666665,0.3333333333333333
natural,18.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.0,1.0
natural,24.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.25,0.75
natural,30.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
natural,35.0,0.25,0.0,1.0688183053150095,1.0588096653655454,3.0,1.0
tested_sample,0.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
tested_sample,3.0,0.0,0.0,0.3116672524784494,1.4373851917838256,nan,nan
tested_sample,6.0,0.25,0.0,1.0688183053150095,1.0588096653655454,4.0,0.0
tested_sample,9.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.3333333333333335,0.6666666666666666
tested_sample,12.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.6666666666666665,0.3333333333333333
tested_sample,18.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.0,1.0
tested_sample,24.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.25,0.75
tested_sample,30.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
tested_sample,35.0,0.25,0.0,1.0688183053150095,1.0588096653655454,3.0,1.0
other_sample,0.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
other_sample,3.0,0.0,0.0,0.3116672524784494,1.4373851917838256,nan,nan
other_sample,6.0,0.25,0.0,1.0688183053150095,1.0588096653655454,4.0,0.0
other_sample,9.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.3333333333333335,0.6666666666666666
other_sample,12.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.6666666666666665,0.3333333333333333
other_sample,18.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.0,1.0
other_sample,24.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.25,0.75
other_sample,30.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
other_sample,35.0,0.25,0.0,1.0688183053150095,1.0588096653655454,3.0,1.0
blank_control,0.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
blank_control,3.0,0.0,0.0,0.3116672524784494,1.4373851917838256,nan,nan
blank_control,6.0,0.25,0.0,1.0688183053150095,1.0588096653655454,4.0,0.0
blank_control,9.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.3333333333333335,0.6666666666666666
blank_control,12.0,0.75,0.0,2.117619330731091,0.5344091526575048,3.6666666666666665,0.3333333333333333
blank_control,18.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.0,1.0
blank_control,24.0,1.0,0.0,2.8747703835676512,0.1558336262392247,3.25,0.75
blank_control,30.0,0.5,0.0,1.5932188180230502,0.7966094090115251,3.5,0.5
blank_control,35.0,0.25,0.0,1.0688183053150095,1.0588096653655454,3.0,1.0
