assay,condition,source,displayed_validity,frame,metric,mean,sem,trials
cue_proportion_nochange,historical_clean,current_image_keys,0.25,0,max_conditional_patch,0.26305747569312715,5.1257915516336117e-17,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,1,max_conditional_patch,0.9674028306908761,5.695323946259568e-17,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,2,max_conditional_patch,0.26001636649203547,4.556259157007655e-17,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,3,max_conditional_patch,0.36294569174216024,0.0056831270397360995,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,4,max_conditional_patch,0.38559585437814786,0.006975903905787342,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,5,max_conditional_patch,0.3750842926103459,0.006694995034217276,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,6,max_conditional_patch,0.4031704859808318,0.007690572341705419,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,0,normalized_entropy,0.9990009113721025,2.0503166206534447e-16,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,1,normalized_entropy,0.12935750472413918,1.9933633811908488e-17,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,2,normalized_entropy,0.9994646565616242,7.973453524763395e-17,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,3,normalized_entropy,0.9590051354895257,0.002843555826783114,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,4,normalized_entropy,0.9410437832565437,0.004181512843604371,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,5,normalized_entropy,0.9500410899842097,0.0036718194486925417,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,6,normalized_entropy,0.92753758398923,0.004890946266743273,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,0,effective_locations,3.994463711126229,0.0,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,1,effective_locations,1.1964126000653588,2.0503166206534447e-16,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,2,effective_locations,3.997032526922226,4.556259157007655e-17,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,3,effective_locations,3.7817805154108335,0.01471175306480381,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,4,effective_locations,3.6918592051823276,0.02081828754068949,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,5,effective_locations,3.73685834610024,0.018519622198833963,96
cue_proportion_nochange,historical_clean,current_image_keys,0.25,6,effective_locations,3.625446194502509,0.02383058731933328,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,source_share,0.9960678964853287,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,source_share,0.5371736716479063,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,source_share,0.9816331192851067,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,source_share,0.7169069598506516,0.0035772265153211423,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,source_share,0.8477034707417866,0.0035568576605492465,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,source_share,0.8826299286010908,0.00358395594410594,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,source_share,0.8447903022727891,0.008034167028449063,96
