trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_memory
0,1,0,-0.028747798715127004,0.004378694835445174,-0.046495524126726195,0.0598243810236454,nan,nan,nan
1,1,0,-0.03326898908251863,-0.028486500833331263,-0.050593316592298265,0.04320797510445118,nan,nan,nan
2,1,3,-0.028478301038880716,-0.04718940531618898,-0.04668131047770885,0.05185358040034771,nan,nan,nan
3,1,3,-0.031097188968445266,-0.01786265427031708,-0.04683925364837194,0.05045778863132,nan,nan,nan
4,0,0,-0.032040548361877086,0.02198143120244822,-0.05170024484213798,0.038389239460229874,0.008190609143223782,-0.0010831981447481098,0.2561126592117944
5,0,0,-0.03156894126828291,0.0025630327267691655,-0.04796647376696228,0.053811896592378616,-0.03006461381677994,-0.03934282304627246,0.12465182115556672
6,0,3,-0.029502779133075308,0.04379701654484336,-0.04526390305902339,0.057169437408447266,-0.09509646410566575,-0.06984509382267667,-0.12990196887403727
7,0,3,-0.028186303909723875,0.04495784561493821,-0.04650995896280108,0.05203821510076523,-0.0879720457628963,-0.06582468029363397,-0.10696957632899284
