label,grid,n_tokens,seed,condition,window,source,trial,target_quadrant,cue_quadrant,source_total_share,target_raw_total_quadrant_mass,cue_raw_total_quadrant_mass,target_raw_peak_patch,cue_raw_peak_patch,target_raw_peak_patch_uniform_ratio,cue_raw_peak_patch_uniform_ratio,target_conditional_total_quadrant_mass,cue_conditional_total_quadrant_mass,target_conditional_peak_patch,cue_conditional_peak_patch,target_conditional_peak_patch_uniform_ratio,cue_conditional_peak_patch_uniform_ratio,target_peak_patch_quadrant_share,cue_peak_patch_quadrant_share,target_within_quadrant_peak_ratio,cue_within_quadrant_peak_ratio,target_minus_cue_raw_total_mass,target_minus_other_raw_total_mass,target_minus_cue_raw_peak,target_minus_other_raw_peak,target_minus_cue_peak_share,target_minus_other_peak_share,target_argmax_raw_total,target_argmax_raw_peak
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,0,0,0,0.34848091498133726,0.09019772156170802,0.09019772156170802,0.0068961866199970245,0.0068961866199970245,1.379237323999405,1.379237323999405,0.25883116602393713,0.25883116602393713,0.019789280627796637,0.019789280627796637,1.9789280627796637,1.9789280627796637,0.2463246321388716,0.2463246321388716,1.9114082098179874,1.9114082098179874,0.0,0.0041033237551649365,0.0,-0.0001371957672139006,0.0,-0.00490049048150451,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,1,0,0,0.34520769491791725,0.08841480151022552,0.08841480151022552,0.006229284685105085,0.006229284685105085,1.245856937021017,1.245856937021017,0.25612059873476634,0.25612059873476634,0.018045034270126197,0.018045034270126197,1.8045034270126197,1.8045034270126197,0.2314527564485469,0.2314527564485469,1.7613806112499852,1.7613806112499852,0.0,0.0028171703743282706,0.0,-0.0006655702988306684,0.0,-0.02472965806860411,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,2,0,0,0.3417138083750615,0.08325070106366184,0.08325070106366184,0.0063554029911756516,0.0063554029911756516,1.2710805982351303,1.2710805982351303,0.2436269738689832,0.2436269738689832,0.018598613329081592,0.018598613329081592,1.8598613329081592,1.8598613329081592,0.22968451516341581,0.22968451516341581,1.9085133548351962,1.9085133548351962,0.0,-0.002903668040138044,0.0,-0.0007495097815990448,0.0,-0.0270873131154456,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,3,0,0,0.3471018123818794,0.08499211171874776,0.08499211171874776,0.0064638955518603325,0.0064638955518603325,1.2927791103720665,1.2927791103720665,0.24486219514532506,0.24486219514532506,0.018622477098301036,0.018622477098301036,1.8622477098301036,1.8622477098301036,0.22542868706637476,0.22542868706637476,1.9013221995384635,1.9013221995384635,0.0,-0.002377788502296127,0.0,-0.000939403660595417,0.0,-0.03276175057816699,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,4,0,0,0.34324714381364174,0.08339307129790541,0.08339307129790541,0.006322269327938557,0.006322269327938557,1.2644538655877113,1.2644538655877113,0.24295343107991538,0.24295343107991538,0.018419000541985833,0.018419000541985833,1.8419000541985833,1.8419000541985833,0.23075990234876095,0.23075990234876095,1.895322126149272,1.895322126149272,0.0,-0.0032249528740067035,0.0,-0.0007028435356914997,0.0,-0.025653463534985405,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,5,0,0,0.34914947987999767,0.08914302942866925,0.08914302942866925,0.006358673330396414,0.006358673330396414,1.2717346660792828,1.2717346660792828,0.2553147994357821,0.2553147994357821,0.018211894036278913,0.018211894036278913,1.8211894036278913,1.8211894036278913,0.23098380143516617,0.23098380143516617,1.7832783368340979,1.7832783368340979,0.0,0.0024742126115597785,0.0,-0.0006979871541261673,0.0,-0.02535493141977846,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,6,0,0,0.3491689992224565,0.08578772492182907,0.08578772492182907,0.006404660176485777,0.006404660176485777,1.2809320352971554,1.2809320352971554,0.24569112696964682,0.24569112696964682,0.018342579641227975,0.018342579641227975,1.8342579641227974,1.8342579641227974,0.2279939715939787,0.2279939715939787,1.8664267476267116,1.8664267476267116,0.0,-0.002006033178380065,0.0,-0.0008242389497657614,0.0,-0.029341371208028405,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,7,0,0,0.3521501883151359,0.08475279701087857,0.08475279701087857,0.006434584502130747,0.006434584502130747,1.2869169004261494,1.2869169004261494,0.24067230353156616,0.24067230353156616,0.01827227335279031,0.01827227335279031,1.827227335279031,1.827227335279031,0.2256411136518249,0.2256411136518249,1.8980448814287587,1.8980448814287587,0.0,-0.004379666757207204,0.0,-0.0009261864858369035,0.0,-0.03247851513090014,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,8,0,0,0.3516579128699959,0.08587999433802906,0.08587999433802906,0.00648139463737607,0.00648139463737607,1.296278927475214,1.296278927475214,0.2442145937713563,0.2442145937713563,0.018430964867189467,0.018430964867189467,1.8430964867189468,1.8430964867189468,0.22802334726847762,0.22802334726847762,1.8867591594920503,1.8867591594920503,0.0,-0.0027126451726265516,0.0,-0.0008328934200108051,0.0,-0.029302203642029845,0,0
vda4_crossattn1_grid10x10_seed0,10x10,100,0,valid,frame5,visual,9,0,0,0.3409145646219258,0.08377335824479815,0.08377335824479815,0.006206378806382418,0.006206378806382418,1.2412757612764835,1.2412757612764835,0.24573123866885177,0.24573123866885177,0.018205085527118182,0.018205085527118182,1.820508552711818,1.820508552711818,0.23562680330847466,0.23562680330847466,1.8521338216639414,1.8521338216639414,0.0,-0.001940377214244407,0.0,-0.0005047841308017569,0.0,-0.01916426225536713,0,0
