role,dose,bias,response_rate,false_alarm_rate,dprime,criterion,conditional_mean_response_frame,achieved_change_mass_t6,achieved_cued_mass_t6,achieved_control_mass_t6
change,0.0,-6.0,0.7466666666666667,0.043333333333333335,2.377286344722428,0.5246062292668587,5.459821428571429,0.4451829635310177,0.14269009859476783,0.02885537552907559
change,0.25,-3.0,0.96,0.043333333333333335,3.463935472880242,-0.01871833481204821,5.190972222222222,0.6082601739395382,0.06421337448089066,0.022988934638740702
change,0.5,0.0,0.98,0.043333333333333335,3.7669983122598953,-0.17024975450187485,5.091836734693878,0.8219773310048499,0.024549258245874363,0.011335099253825615
change,0.75,3.0,0.9933333333333333,0.04666666666666667,4.152810167440391,-0.3983345654992866,5.073825503355705,0.9376447445371399,0.007064948666545465,0.004057957316175705
change,1.0,6.0,0.9933333333333333,0.016666666666666666,4.602784883404466,-0.17334720751724908,5.070469798657718,0.9873415606680768,0.0012359960212866554,0.0008052567490308861
cued,0.0,-6.0,0.99,0.013333333333333334,4.542710653265239,-0.054992547408221126,5.094276094276094,0.8336065701836904,7.472077712970773e-05,0.012421489751918625
cued,0.25,-3.0,0.99,0.016666666666666666,4.454393108225824,-0.09915131992792836,5.094276094276094,0.8329587918954331,0.0014808736511335006,0.012357493650893754
cued,0.5,0.0,0.98,0.043333333333333335,3.7669983122598953,-0.17024975450187485,5.091836734693878,0.8219773310048499,0.024549258245874363,0.011335099253825615
cued,0.75,3.0,0.9733333333333334,0.05333333333333334,3.545570486450562,-0.15942684857297829,5.157534246575342,0.738219647539045,0.1777071954799936,0.005754042113488443
cued,1.0,6.0,0.86,0.04666666666666667,2.758389859035865,0.2988755887029766,5.325581395348837,0.5666156094127711,0.4161082867291862,0.001069864722520999
control,0.0,-6.0,0.98,0.03666666666666667,3.844499463801752,-0.13149917873094652,5.091836734693878,0.8256746120008118,0.025359500068995063,3.0225010758072773e-05
control,0.25,-3.0,0.98,0.043333333333333335,3.7669983122598953,-0.17024975450187485,5.091836734693878,0.8254937416977441,0.02531840562618249,0.0006047265040740631
control,0.5,0.0,0.98,0.043333333333333335,3.7669983122598953,-0.17024975450187485,5.091836734693878,0.8219773310048499,0.024549258245874363,0.011335099253825615
control,0.75,3.0,0.98,0.04666666666666667,3.7318194288527318,-0.18783919620545675,5.105442176870748,0.7752177935482322,0.01689064838018091,0.12004140077959206
control,1.0,6.0,0.9466666666666667,0.02666666666666667,3.545570486450561,0.15942684857297773,5.144366197183099,0.5994397106791127,0.006937855819429949,0.3729839204100675
