metrics_path,task,feedback,d_mem,reward_scale,memory_noise_sigma,max_logged_iter,n_metric_rows,status,last_correct,late50_mean_correct,best_correct,last_theta,min_theta,metrics_mtime
battery_sweep_results/baruni_memnoise/baruni_crossattn1_mn05/metrics.csv,baruni,crossattn1,128,1,0.5,9507,9508,interrupted_or_partial,0.870000,0.860950,0.980000,8.000000,8.000000,2026-07-05T20:26:24
battery_sweep_results/baruni_memnoise/baruni_crossattn1_mn10/metrics.csv,baruni,crossattn1,128,1,1.0,19077,19078,interrupted_or_partial,0.832500,0.814350,0.952500,20.000000,20.000000,2026-07-06T08:43:44
battery_sweep_results/motion_affine_ew_twolstm_mps/metrics.csv,motion_zk,affine_ew,128,1,0,86,87,interrupted_or_partial,0.017500,0.171849,0.806818,65.000000,65.000000,2026-07-05T15:09:11
battery_sweep_results/pod1/ckpt/baruni_affine_ew/metrics.csv,baruni,affine_ew,128,1,0,19999,20000,budget_complete,0.872500,0.877350,0.995000,8.000000,8.000000,2026-07-05T11:50:24
battery_sweep_results/pod1/ckpt/baruni_crossattn1/metrics.csv,baruni,crossattn1,128,1,0,19999,20000,budget_complete,0.897500,0.896050,0.992500,8.000000,8.000000,2026-07-05T12:00:06
battery_sweep_results/pod1/ckpt/krauzlis_affine_ew/metrics.csv,krauzlis,affine_ew,128,1,0,19999,20000,budget_complete,0.727500,0.736100,0.800000,65.000000,65.000000,2026-07-05T05:37:59
battery_sweep_results/pod1/ckpt/krauzlis_crossattn1/metrics.csv,krauzlis,crossattn1,128,1,0,19999,20000,budget_complete,0.747500,0.743400,0.772500,65.000000,65.000000,2026-07-05T05:28:36
battery_sweep_results/pod1/ckpt/luo_maunsell_criterion_affine_ew/metrics.csv,luo_maunsell_criterion,affine_ew,128,1,0,19999,20000,budget_complete,0.775000,0.788500,0.875000,62.000000,62.000000,2026-07-05T05:08:51
battery_sweep_results/pod1/ckpt/luo_maunsell_criterion_crossattn1/metrics.csv,luo_maunsell_criterion,crossattn1,128,1,0,19999,20000,budget_complete,0.850000,0.808750,0.895000,62.000000,62.000000,2026-07-05T05:02:51
battery_sweep_results/pod1/ckpt/luo_maunsell_sensitivity_affine_ew/metrics.csv,luo_maunsell_sensitivity,affine_ew,128,1,0,19999,20000,budget_complete,0.817500,0.834850,0.890000,47.000000,47.000000,2026-07-05T05:24:26
battery_sweep_results/pod1/ckpt/luo_maunsell_sensitivity_crossattn1/metrics.csv,luo_maunsell_sensitivity,crossattn1,128,1,0,19999,20000,budget_complete,0.815000,0.806600,0.890000,44.000000,44.000000,2026-07-05T05:12:31
