mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
,,blue,1,256,222,0.8671875,0.021210748661106907,5.0,0.21793485077263636,0.0
,,green,3,256,236,0.921875,0.016773011755193034,4.0,0.19211915785193887,0.0
,,red,5,256,232,0.90625,0.018217537213064093,4.0,0.20473211991122872,0.0
