metric,model,condition,logical_index,mean,standard_error,trials
memory_mass,high_decay,forced_invalid,0,0.9997662306,0,256
memory_mass,high_decay,forced_invalid,1,0.04687403889,1.455191523e-11,256
memory_mass,high_decay,forced_invalid,2,0.999337852,0,256
memory_mass,high_decay,forced_invalid,3,0.9895686153,0.0004663963128,256
memory_mass,high_decay,forced_invalid,4,0.9937624356,0.0002395512952,256
memory_mass,high_decay,forced_invalid,5,0.9952391791,0.000190479523,256
memory_mass,high_decay,forced_invalid,6,0.9971940187,0.0002433889051,256
peak_key_mass,standard,valid,0,0.2499212176,0,256
peak_key_mass,standard,valid,1,0.826585412,0,256
peak_key_mass,standard,valid,2,0.8970974684,0,256
peak_key_mass,standard,valid,3,0.2324069025,0.0002802588267,256
peak_key_mass,standard,valid,4,0.3537333423,0.002846124296,256
peak_key_mass,standard,valid,5,0.3754318327,0.003949335593,256
peak_key_mass,standard,valid,6,0.6922865817,0.01320691699,256
peak_key_mass,standard,forced_invalid,0,0.2499212176,0,256
peak_key_mass,standard,forced_invalid,1,0.826585412,0,256
peak_key_mass,standard,forced_invalid,2,0.8970974684,0,256
peak_key_mass,standard,forced_invalid,3,0.2324069025,0.0002802588267,256
peak_key_mass,standard,forced_invalid,4,0.3537333423,0.002846124296,256
peak_key_mass,standard,forced_invalid,5,0.3724127093,0.003718598801,256
peak_key_mass,standard,forced_invalid,6,0.5253081935,0.0103449944,256
peak_key_mass,high_decay,valid,0,0.2499415576,0,256
peak_key_mass,high_decay,valid,1,0.9527673721,0,256
peak_key_mass,high_decay,valid,2,0.2591585517,0,256
peak_key_mass,high_decay,valid,3,0.3010552055,0.0005350657233,256
peak_key_mass,high_decay,valid,4,0.4100902964,0.004131852574,256
peak_key_mass,high_decay,valid,5,0.4313202143,0.004879736932,256
peak_key_mass,high_decay,valid,6,0.7767220901,0.01289668666,256
peak_key_mass,high_decay,forced_invalid,0,0.2499415576,0,256
peak_key_mass,high_decay,forced_invalid,1,0.9527673721,0,256
peak_key_mass,high_decay,forced_invalid,2,0.2591585517,0,256
peak_key_mass,high_decay,forced_invalid,3,0.3010552055,0.0005350657233,256
peak_key_mass,high_decay,forced_invalid,4,0.4100902964,0.004131852574,256
peak_key_mass,high_decay,forced_invalid,5,0.4268715967,0.004711024274,256
peak_key_mass,high_decay,forced_invalid,6,0.5802165383,0.01090198238,256
