model,displayed_validity,magnitude,condition,response_count,response_rate,mean_rt,false_alarm_rate,dprime,criterion
vda4_crossattn1_grid2x2_seed0,0.25,0.0,valid,10,0.03333333333333333,5.7,0.043333333333333335,-0.11644050363197667,1.7551973168580464
vda4_crossattn1_grid2x2_seed0,0.25,0.0,invalid,7,0.023333333333333334,5.428571428571429,0.043333333333333335,-0.26441000601456666,1.8291820680493411
vda4_crossattn1_grid2x2_seed0,0.25,3.0,valid,13,0.043333333333333335,5.615384615384615,0.043333333333333335,0.0,1.696977065042058
vda4_crossattn1_grid2x2_seed0,0.25,3.0,invalid,12,0.04,5.333333333333333,0.043333333333333335,-0.036243470407597345,1.7150988002458565
vda4_crossattn1_grid2x2_seed0,0.25,6.0,valid,25,0.08333333333333333,5.52,0.043333333333333335,0.32295623544855934,1.5354989473177783
vda4_crossattn1_grid2x2_seed0,0.25,6.0,invalid,29,0.09666666666666666,5.482758620689655,0.043333333333333335,0.40398351249313524,1.4949853087954903
vda4_crossattn1_grid2x2_seed0,0.25,9.0,valid,40,0.13333333333333333,5.5,0.043333333333333335,0.5918464350245598,1.401053847529778
vda4_crossattn1_grid2x2_seed0,0.25,9.0,invalid,50,0.16666666666666666,5.44,0.043333333333333335,0.7339783592592365,1.3299878854124396
vda4_crossattn1_grid2x2_seed0,0.25,12.0,valid,105,0.35,5.371428571428571,0.043333333333333335,1.3130016613542392,1.0404762343649383
vda4_crossattn1_grid2x2_seed0,0.25,12.0,invalid,92,0.30666666666666664,5.565217391304348,0.043333333333333335,1.193484405905146,1.100234862089485
vda4_crossattn1_grid2x2_seed0,0.25,15.0,valid,146,0.4866666666666667,5.3561643835616435,0.043333333333333335,1.663660227642626,0.8651469512207449
vda4_crossattn1_grid2x2_seed0,0.25,15.0,invalid,142,0.47333333333333333,5.507042253521127,0.043333333333333335,1.6303063567666298,0.881823886658743
vda4_crossattn1_grid2x2_seed0,0.25,18.0,valid,198,0.66,5.313131313131313,0.043333333333333335,2.1079899005631124,0.6429821147605017
vda4_crossattn1_grid2x2_seed0,0.25,18.0,invalid,178,0.5933333333333334,5.421348314606742,0.043333333333333335,1.9323059361115749,0.7308240969862705
vda4_crossattn1_grid2x2_seed0,0.25,22.0,valid,262,0.8733333333333333,5.290076335877862,0.043333333333333335,2.8333178842974482,0.2803181228933338
vda4_crossattn1_grid2x2_seed0,0.25,22.0,invalid,245,0.8166666666666667,5.33469387755102,0.043333333333333335,2.5957553587988436,0.3990993856426362
vda4_crossattn1_grid2x2_seed0,0.25,26.0,valid,280,0.9333333333333333,5.142857142857143,0.043333333333333335,3.1870212267117886,0.10346645168616375
vda4_crossattn1_grid2x2_seed0,0.25,26.0,invalid,284,0.9466666666666667,5.235915492957746,0.043333333333333335,3.2968149519834733,0.04856958905032127
vda4_crossattn1_grid2x2_seed0,0.25,30.0,valid,299,0.9966666666666667,5.070234113712375,0.043333333333333335,4.273956867958665,-0.4400013689372744
vda4_crossattn1_grid2x2_seed0,0.25,30.0,invalid,297,0.99,5.094276094276094,0.043333333333333335,3.9661828613270207,-0.2861143656214524
vda4_crossattn1_grid2x2_seed0,0.5,0.0,valid,11,0.03666666666666667,5.454545454545454,0.04,-0.0386746358208927,1.7525578533601016
vda4_crossattn1_grid2x2_seed0,0.5,0.0,invalid,14,0.04666666666666667,5.428571428571429,0.04,0.07038576750871406,1.6980276516952983
vda4_crossattn1_grid2x2_seed0,0.5,3.0,valid,19,0.06333333333333334,5.7368421052631575,0.04,0.2174133171656647,1.624513876866823
vda4_crossattn1_grid2x2_seed0,0.5,3.0,invalid,15,0.05,5.466666666666667,0.04,0.10269291832911298,1.6818740762850988
vda4_crossattn1_grid2x2_seed0,0.5,6.0,valid,34,0.11333333333333333,5.352941176470588,0.04,0.5308910060895593,1.4677750324048757
vda4_crossattn1_grid2x2_seed0,0.5,6.0,invalid,20,0.06666666666666667,5.65,0.04,0.24317637377992551,1.6116323485596924
vda4_crossattn1_grid2x2_seed0,0.5,9.0,valid,58,0.19333333333333333,5.482758620689655,0.04,0.8712510665185659,1.2975950021903724
vda4_crossattn1_grid2x2_seed0,0.5,9.0,invalid,56,0.18666666666666668,5.517857142857143,0.04,0.8468451570538436,1.3097979569227336
vda4_crossattn1_grid2x2_seed0,0.5,12.0,valid,100,0.3333333333333333,5.39,0.04,1.3040155928463482,1.0812127390264812
vda4_crossattn1_grid2x2_seed0,0.5,12.0,invalid,82,0.2733333333333333,5.560975609756097,0.04,1.13272008004231,1.1668604954285002
vda4_crossattn1_grid2x2_seed0,0.5,15.0,valid,159,0.53,5.333333333333333,0.04,1.8082398611326123,0.8291006048833491
vda4_crossattn1_grid2x2_seed0,0.5,15.0,invalid,126,0.42,5.484126984126984,0.04,1.5320069402529914,0.9672170653231595
vda4_crossattn1_grid2x2_seed0,0.5,18.0,valid,218,0.7266666666666667,5.325688073394495,0.04,2.3337209908570005,0.566360040021155
vda4_crossattn1_grid2x2_seed0,0.5,18.0,invalid,190,0.6333333333333333,5.4526315789473685,0.04,2.0727388944248495,0.6968510882372305
vda4_crossattn1_grid2x2_seed0,0.5,22.0,valid,273,0.91,5.17948717948718,0.04,3.065634327403708,0.2004033717478012
vda4_crossattn1_grid2x2_seed0,0.5,22.0,invalid,246,0.82,5.313008130081301,0.04,2.6445415713251217,0.4109497497870945
vda4_crossattn1_grid2x2_seed0,0.5,26.0,valid,294,0.98,5.119047619047619,0.04,3.7550945514019674,-0.14432674025132852
vda4_crossattn1_grid2x2_seed0,0.5,26.0,invalid,273,0.91,5.2234432234432235,0.04,3.065634327403708,0.2004033717478012
vda4_crossattn1_grid2x2_seed0,0.5,30.0,valid,300,1.0,5.053333333333334,0.04,4.669452384267171,-0.6015056566839302
vda4_crossattn1_grid2x2_seed0,0.5,30.0,invalid,297,0.99,5.114478114478114,0.04,4.002426331734618,-0.26799263041765375
vda4_crossattn1_grid2x2_seed0,0.75,0.0,valid,11,0.03666666666666667,5.454545454545454,0.056666666666666664,-0.20131014270312875,1.6712400999189836
vda4_crossattn1_grid2x2_seed0,0.75,0.0,invalid,15,0.05,5.266666666666667,0.056666666666666664,-0.059942588553123066,1.6005563228439807
vda4_crossattn1_grid2x2_seed0,0.75,3.0,valid,25,0.08333333333333333,5.28,0.056666666666666664,0.19656419897392063,1.4723029290804588
vda4_crossattn1_grid2x2_seed0,0.75,3.0,invalid,17,0.056666666666666664,5.588235294117647,0.056666666666666664,0.0,1.5705850285674192
vda4_crossattn1_grid2x2_seed0,0.75,6.0,valid,37,0.12333333333333334,5.486486486486487,0.056666666666666664,0.4182159340297942,1.361477061552522
vda4_crossattn1_grid2x2_seed0,0.75,6.0,invalid,15,0.05,5.266666666666667,0.056666666666666664,-0.059942588553123066,1.6005563228439807
vda4_crossattn1_grid2x2_seed0,0.75,9.0,valid,72,0.24,5.333333333333333,0.056666666666666664,0.8670583306405056,1.1370558632471663
vda4_crossattn1_grid2x2_seed0,0.75,9.0,invalid,24,0.08,5.416666666666667,0.056666666666666664,0.17483803561775169,1.4831660107585434
vda4_crossattn1_grid2x2_seed0,0.75,12.0,valid,142,0.47333333333333333,5.415492957746479,0.056666666666666664,1.5039143202919911,0.8186278684214237
vda4_crossattn1_grid2x2_seed0,0.75,12.0,invalid,56,0.18666666666666668,5.410714285714286,0.056666666666666664,0.6842096501716075,1.2284802034816154
vda4_crossattn1_grid2x2_seed0,0.75,15.0,valid,206,0.6866666666666666,5.29126213592233,0.056666666666666664,2.0552599245902003,0.542955066272319
vda4_crossattn1_grid2x2_seed0,0.75,15.0,invalid,82,0.2733333333333333,5.439024390243903,0.056666666666666664,0.970084573160074,1.0855427419873822
vda4_crossattn1_grid2x2_seed0,0.75,18.0,valid,244,0.8133333333333334,5.213114754098361,0.056666666666666664,2.456960406963231,0.34210482508580364
vda4_crossattn1_grid2x2_seed0,0.75,18.0,invalid,117,0.39,5.3076923076923075,0.056666666666666664,1.292218351741527,0.9244758526966557
vda4_crossattn1_grid2x2_seed0,0.75,22.0,valid,283,0.9433333333333334,5.123674911660777,0.056666666666666664,3.1411700571348384,-0.0
vda4_crossattn1_grid2x2_seed0,0.75,22.0,invalid,212,0.7066666666666667,5.3254716981132075,0.056666666666666664,2.112263726348729,0.5144531653930546
vda4_crossattn1_grid2x2_seed0,0.75,26.0,valid,296,0.9866666666666667,5.0608108108108105,0.056666666666666664,3.7419931939245066,-0.3004115683948342
vda4_crossattn1_grid2x2_seed0,0.75,26.0,invalid,264,0.88,5.1856060606060606,0.056666666666666664,2.7392840485728156,0.20094300428101153
vda4_crossattn1_grid2x2_seed0,0.75,30.0,valid,299,0.9966666666666667,5.010033444816053,0.056666666666666664,4.147564831484026,-0.5031973871745937
vda4_crossattn1_grid2x2_seed0,0.75,30.0,invalid,286,0.9533333333333334,5.13986013986014,0.056666666666666664,3.23341979650836,-0.046124869686760994
