t,action,reward,is_change,is_press,spatial_rms_L1,spatial_rms_L2,spatial_rms_L3,softmax_entropy_L1,softmax_entropy_L2,softmax_entropy_L3
0,0,0.0,0,0,0.29977288842201233,0.5889887809753418,0.5197977423667908,4.1446532317301887e-10,6.355134196667223e-10,4.824272537007346e-08
1,0,0.0,0,0,0.272556334733963,0.5466978549957275,0.5627858638763428,4.1446532317301887e-10,6.355134196667223e-10,0.0007298757554963231
2,0,0.0,0,0,0.25144630670547485,0.541084349155426,0.5582302212715149,4.1446532317301887e-10,6.355134196667223e-10,1.8374817045696545e-06
3,0,0.0,0,0,0.27683761715888977,0.5385716557502747,0.5632537603378296,4.1446532317301887e-10,6.355134196667223e-10,0.002177892019972205
4,0,0.0,0,0,0.2609536051750183,0.5398846864700317,0.5578557848930359,4.1446532317301887e-10,6.355134196667223e-10,0.0014110408956184983
5,0,0.0,0,0,0.2319726049900055,0.5401684641838074,0.5540221929550171,4.1446532317301887e-10,6.355134196667223e-10,0.0007053872104734182
6,0,0.0,0,0,0.22379517555236816,0.5390060544013977,0.5487031936645508,4.1446532317301887e-10,6.355134196667223e-10,0.000410688720876351
7,0,0.0,0,0,0.2211509495973587,0.5381656885147095,0.5474835634231567,4.1446532317301887e-10,6.355134196667223e-10,0.00040539802284911275
8,0,0.0,0,0,0.21558929979801178,0.5373538136482239,0.5438684821128845,4.1446532317301887e-10,6.355134196667223e-10,0.0004356887366157025
9,0,0.0,0,0,0.20009666681289673,0.5369024276733398,0.541661262512207,4.1446532317301887e-10,6.355134196667223e-10,0.0001873749279184267
10,0,0.0,0,0,0.21097829937934875,0.5363646745681763,0.5420963168144226,4.1446532317301887e-10,6.355134196667223e-10,0.00014259928138926625
11,0,0.0,0,0,0.2168096899986267,0.534206211566925,0.538377583026886,4.1446532317301887e-10,6.355134196667223e-10,0.0002474355569574982
12,0,0.0,0,0,0.2011188417673111,0.5368115305900574,0.5365020036697388,4.1446532317301887e-10,6.355134196667223e-10,0.00013961101649329066
13,0,0.0,0,0,0.19490955770015717,0.5353896021842957,0.5366228818893433,4.1446532317301887e-10,6.355134196667223e-10,0.00020728720119222999
14,0,0.0,0,0,0.19072225689888,0.534857451915741,0.5372384786605835,4.1446532317301887e-10,6.355134196667223e-10,0.00012919858272653073
15,0,0.0,1,0,0.2157726287841797,0.5346649885177612,0.5368394255638123,4.1446532317301887e-10,6.355134196667223e-10,0.00025738959084264934
16,0,0.0,0,0,0.19215448200702667,0.5347282886505127,0.537600576877594,4.1446532317301887e-10,6.355134196667223e-10,0.0002861234825104475
17,0,0.0,0,0,0.19582898914813995,0.533625066280365,0.5369840264320374,4.1446532317301887e-10,6.355134196667223e-10,0.0002704547659959644
18,0,0.0,0,0,0.21938039362430573,0.5335248112678528,0.5372779369354248,4.1446532317301887e-10,6.355134196667223e-10,0.00020287101506255567
19,0,0.0,0,0,0.22451414167881012,0.5337053537368774,0.537461519241333,4.1446532317301887e-10,6.355134196667223e-10,0.00025037492741830647
20,0,0.0,0,0,0.22093522548675537,0.5338535308837891,0.5376107096672058,4.1446532317301887e-10,6.355134196667223e-10,0.0003336038498673588
21,0,0.0,0,0,0.20919214189052582,0.5332041382789612,0.5382565259933472,4.1446532317301887e-10,6.355134196667223e-10,0.0002673519484233111
22,0,0.0,0,0,0.19814445078372955,0.5337816476821899,0.538220226764679,4.1446532317301887e-10,6.355134196667223e-10,0.00021213559375610203
23,0,0.0,0,0,0.2104741781949997,0.5335513949394226,0.5382788181304932,4.1446532317301887e-10,6.355134196667223e-10,0.0002374080359004438
24,0,0.0,0,0,0.21598771214485168,0.5332010984420776,0.539018452167511,4.1446532317301887e-10,6.355134196667223e-10,0.00020395504543557763
25,0,0.0,0,0,0.21578781306743622,0.5328485369682312,0.5382906794548035,4.1446532317301887e-10,6.355134196667223e-10,0.00023809516278561205
26,0,0.0,0,0,0.21420717239379883,0.5305582284927368,0.5376957058906555,4.1446532317301887e-10,6.355134196667223e-10,0.00023010543372947723
27,0,0.0,0,0,0.2561112940311432,0.5319653749465942,0.5378169417381287,4.1446532317301887e-10,6.355134196667223e-10,0.0005974992527626455
28,0,5.0,0,0,0.22521327435970306,0.5310418605804443,0.5368891954421997,4.1446532317301887e-10,6.355134196667223e-10,0.0005021091783419251
