t,action,reward,is_change,is_press,spatial_rms_L1,spatial_rms_L2,spatial_rms_L3,softmax_entropy_L1,softmax_entropy_L2,softmax_entropy_L3
0,0,0.0,0,0,0.29977288842201233,0.5889887809753418,0.5197977423667908,4.1446532317301887e-10,6.355134196667223e-10,4.824272537007346e-08
1,0,0.0,0,0,0.2738820016384125,0.5537505745887756,0.5566242337226868,4.1446532317301887e-10,6.355134196667223e-10,0.00018269088468514383
2,0,0.0,0,0,0.26313516497612,0.550218403339386,0.5499612092971802,4.1446532317301887e-10,6.355134196667223e-10,5.68303164527606e-07
3,0,0.0,0,0,0.27625587582588196,0.5454757809638977,0.5527856945991516,4.1446532317301887e-10,6.355134196667223e-10,0.00030963763128966093
4,0,0.0,0,0,0.25032538175582886,0.5468994379043579,0.5492446422576904,4.1446532317301887e-10,6.355134196667223e-10,9.144911746261641e-05
5,0,0.0,0,0,0.23073910176753998,0.5470949411392212,0.5445534586906433,4.1446532317301887e-10,6.355134196667223e-10,7.150394230848178e-05
6,0,0.0,0,0,0.21073715388774872,0.5468242168426514,0.542537271976471,4.1446532317301887e-10,6.355134196667223e-10,5.546155807678588e-05
7,0,0.0,0,0,0.19889771938323975,0.5460262894630432,0.5379621386528015,4.1446532317301887e-10,6.355134196667223e-10,4.86856370116584e-05
8,0,0.0,0,0,0.20134124159812927,0.5453948378562927,0.535710334777832,4.1446532317301887e-10,6.355134196667223e-10,4.960862497682683e-05
9,0,0.0,0,0,0.19890688359737396,0.5453958511352539,0.5344194173812866,4.1446532317301887e-10,6.355134196667223e-10,4.800809983862564e-05
10,0,0.0,0,0,0.20889566838741302,0.5455031394958496,0.5340778827667236,4.1446532317301887e-10,6.355134196667223e-10,3.655310138128698e-05
11,0,0.0,0,0,0.2181423157453537,0.5452885627746582,0.5335050821304321,4.1446532317301887e-10,6.355134196667223e-10,3.7819954741280526e-05
12,0,0.0,0,0,0.2119947224855423,0.544331967830658,0.5323916673660278,4.1446532317301887e-10,6.355134196667223e-10,6.700718950014561e-05
13,0,0.0,0,0,0.2132018357515335,0.5448099970817566,0.5329301357269287,4.1446532317301887e-10,6.355134196667223e-10,5.397209315560758e-05
14,0,0.0,0,0,0.21864749491214752,0.5445255041122437,0.5330095291137695,4.1446532317301887e-10,6.355134196667223e-10,4.775566412718035e-05
15,0,0.0,0,0,0.22607536613941193,0.5444622039794922,0.5325430631637573,4.1446532317301887e-10,6.355134196667223e-10,5.590014916379005e-05
16,0,0.0,0,0,0.2283637374639511,0.5438151955604553,0.5327043533325195,4.1446532317301887e-10,6.355134196667223e-10,6.073489203117788e-05
17,0,0.0,0,0,0.21705786883831024,0.543900191783905,0.5334805846214294,4.1446532317301887e-10,6.355134196667223e-10,5.504400542122312e-05
18,0,0.0,0,0,0.22430624067783356,0.5439801216125488,0.5325826406478882,4.1446532317301887e-10,6.355134196667223e-10,5.162403977010399e-05
19,0,0.0,0,0,0.22165068984031677,0.5417677164077759,0.5332202315330505,4.1446532317301887e-10,6.355134196667223e-10,9.012930240714923e-05
20,0,0.0,1,0,0.2203453779220581,0.543455958366394,0.5318391919136047,4.1446532317301887e-10,6.355134196667223e-10,0.00010667349852155894
21,0,0.0,0,0,0.22166506946086884,0.5431192517280579,0.532265305519104,4.1446532317301887e-10,6.355134196667223e-10,8.614057151135057e-05
22,0,0.0,0,0,0.2222730815410614,0.5430360436439514,0.532560408115387,4.1446532317301887e-10,6.355134196667223e-10,9.491217497270554e-05
23,0,0.0,0,0,0.22534000873565674,0.5426267981529236,0.5321226716041565,4.1446532317301887e-10,6.355134196667223e-10,9.296063217334449e-05
24,0,0.0,0,0,0.22381387650966644,0.5424138903617859,0.531692624092102,4.1446532317301887e-10,6.355134196667223e-10,0.00011219937005080283
25,0,0.0,0,0,0.21078051626682281,0.542988657951355,0.5324115753173828,4.1446532317301887e-10,6.355134196667223e-10,0.00010286167525919154
26,0,0.0,0,0,0.20695748925209045,0.5426115989685059,0.5323980450630188,4.1446532317301887e-10,6.355134196667223e-10,9.433948434889317e-05
27,0,0.0,0,0,0.2167893499135971,0.5429299473762512,0.5312880277633667,4.1446532317301887e-10,6.355134196667223e-10,0.0001120817760238424
28,0,3.0,0,0,0.21610620617866516,0.5435070395469666,0.5306690335273743,4.1446532317301887e-10,6.355134196667223e-10,0.00012201827485114336
