t,action,reward,is_change,is_press,L1_spatial_rms,L2_spatial_rms,L3_spatial_rms,L1_softmax_ent,L2_softmax_ent,L3_softmax_ent
0,0,0.0,0,0,0.34572064876556396,0.5726198554039001,0.5206560492515564,4.1446532317301887e-10,6.355134196667223e-10,1.4096532368057524e-06
1,0,0.0,0,0,0.26808279752731323,0.5239583253860474,0.5660487413406372,4.1446532317301887e-10,6.355134196667223e-10,0.00031189623405225575
2,0,0.0,0,0,0.2640933096408844,0.519097626209259,0.561077892780304,4.1446532317301887e-10,6.355134196667223e-10,2.1967893189867027e-05
3,0,0.0,0,0,0.27058646082878113,0.5160773396492004,0.5678393840789795,4.1446532317301887e-10,6.355134196667223e-10,2.2816104319645092e-05
4,0,0.0,0,0,0.2760171592235565,0.516227126121521,0.5678243041038513,4.1446532317301887e-10,6.355134196667223e-10,3.582652425393462e-05
5,0,0.0,0,0,0.27117374539375305,0.5155872702598572,0.5665304064750671,4.1446532317301887e-10,6.355134196667223e-10,6.094099080655724e-05
6,0,0.0,0,0,0.2664375305175781,0.5144294500350952,0.5652557015419006,4.1446532317301887e-10,6.355134196667223e-10,7.072286825859919e-05
7,0,0.0,0,0,0.25983887910842896,0.512789249420166,0.5632768273353577,4.1446532317301887e-10,6.355134196667223e-10,8.306930976686999e-05
8,0,0.0,0,0,0.2510759234428406,0.5092820525169373,0.5618729591369629,4.1446532317301887e-10,6.355134196667223e-10,0.0001195038712467067
9,0,0.0,0,0,0.20167675614356995,0.5120640993118286,0.5638152956962585,4.1446532317301887e-10,6.355134196667223e-10,9.272570605389774e-05
10,0,0.0,0,0,0.20019802451133728,0.509630024433136,0.5624358654022217,4.1446532317301887e-10,6.355134196667223e-10,0.00010526691767154261
11,0,0.0,0,0,0.20150279998779297,0.5085560083389282,0.5625360608100891,4.1446532317301887e-10,6.355134196667223e-10,0.00010207766899839044
12,0,0.0,0,0,0.18802355229854584,0.5078021883964539,0.5612806677818298,4.1446532317301887e-10,6.355134196667223e-10,0.0001870659034466371
13,0,0.0,0,0,0.17717920243740082,0.5072178244590759,0.5619556903839111,4.1446532317301887e-10,6.355134196667223e-10,0.00010500696225790307
14,0,0.0,0,0,0.18014200031757355,0.5058016180992126,0.5619804263114929,4.1446532317301887e-10,6.355134196667223e-10,8.756367606110871e-05
15,0,0.0,1,0,0.17244146764278412,0.49824780225753784,0.5598694682121277,4.1446532317301887e-10,6.355134196667223e-10,6.045129703124985e-05
16,1,5.0,0,1,0.14540743827819824,0.4957200884819031,0.5369529724121094,4.1446532317301887e-10,6.355134196667223e-10,0.0005576165858656168
