t,action,reward,is_change,is_press,spatial_rms_L1,spatial_rms_L2,spatial_rms_L3,softmax_entropy_L1,softmax_entropy_L2,softmax_entropy_L3
0,0,0.0,0,0,0.29977288842201233,0.5889887809753418,0.5197977423667908,4.1446532317301887e-10,6.355134196667223e-10,4.824272537007346e-08
1,0,0.0,0,0,0.2686516344547272,0.561134934425354,0.5567000508308411,4.1446532317301887e-10,6.355134196667223e-10,3.570053740986623e-05
2,0,0.0,0,0,0.2735826373100281,0.5661548972129822,0.5442401170730591,4.1446532317301887e-10,6.355134196667223e-10,9.144687851403432e-08
3,0,0.0,0,0,0.27741187810897827,0.5567598342895508,0.548955500125885,4.1446532317301887e-10,6.355134196667223e-10,0.0008509444305673242
4,0,0.0,0,0,0.23813247680664062,0.5593379139900208,0.5434916615486145,4.1446532317301887e-10,6.355134196667223e-10,0.0003632923180703074
5,0,0.0,0,0,0.21983781456947327,0.5590556859970093,0.5386584997177124,4.1446532317301887e-10,6.355134196667223e-10,0.00046697043580934405
6,0,0.0,0,0,0.2048262506723404,0.559697151184082,0.5323764681816101,4.1446532317301887e-10,6.355134196667223e-10,0.0002498083922546357
7,0,0.0,0,0,0.25321993231773376,0.5608941316604614,0.5294433236122131,4.1446532317301887e-10,6.355134196667223e-10,0.0005138932610861957
8,0,0.0,0,0,0.21629838645458221,0.5613413453102112,0.5288847088813782,4.1446532317301887e-10,6.355134196667223e-10,0.000339902559062466
9,1,0.0,0,1,0.2381821721792221,0.5588338375091553,0.5263717174530029,4.1446532317301887e-10,6.355134196667223e-10,0.011109177023172379
