env,routing,condition,displayed_validity,alpha,beta,gamma,lam,converged,n_trials_per_point,active_items,source_path,source_sha256,checkpoint_sha256
vda4,crossattn1,invalid,1.0,17.493070563009564,3.1910207543635596,0.054055511928812694,1.2224052868377473e-21,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_crossattn1.npz,4ee7debfb0ef95bea7dadc4a2fbf71a45cb01fb0f82e3d49f2c71c8af9f2ad62,1a2fa8ae2a57982b6c91dc75079d8293781ce843271b92fe3cfbe5fc16137155
vda4_grid4x4,crossattn1,valid,0.25,14.49443696951803,3.517422401508389,0.02180700266591793,3.7419016135408196e-20,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,invalid,0.25,17.922466484670803,3.787620103569587,0.035731941966601795,8.50023361962673e-24,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,valid,0.5,14.058469108685944,3.283008252411946,0.0127193326997759,2.0977054694438688e-16,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,invalid,0.5,18.25709263380428,3.6148672499915926,0.03682233020000991,1.0542274631922979e-17,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,valid,0.75,14.425671315776466,3.2908494852295824,0.04595906530536169,6.057206848202152e-19,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,invalid,0.75,18.745435772220887,3.7252526117266496,0.03143932262964555,5.562967334003839e-22,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,valid,1.0,13.510078299172443,3.4673107878809835,0.008545504320506169,5.2273342768164734e-20,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda4_grid4x4,crossattn1,invalid,1.0,19.082438936119487,3.966766075794964,0.017619005476683793,0.008724024832317046,True,300,4,reports\vda_series\first_wave\data\psychometric_vda4_grid4x4_crossattn1.npz,3bc710184b5b7893ed398efca214ef8bfa59eea64fbaf0003f63b67fc3e1744a,306ce94d44461ea85cd0aced5a84eb210457f718d3f2e4ebf85e46ee1922e4bf
vda9,affine_ew,valid,0.25,13.437004859147931,2.9043420547173815,0.04451251930357331,6.565983593782386e-25,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
