condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,256,11,0.04296875,0.012674167336345127,10.0,1.142466751064277,0.01953125
valid,5.0,,,,256,18,0.0703125,0.01597955876167341,9.5,1.2320597159476403,0.0078125
valid,9.0,,,,256,51,0.19921875,0.024963304291033047,5.0,0.8033668566629533,0.0234375
valid,14.0,,,,256,129,0.50390625,0.031249046311131234,2.0,0.4203360939237992,0.0078125
valid,20.0,,,,256,220,0.859375,0.021727144005163075,0.0,0.20446014390853548,0.0078125
valid,30.0,,,,256,254,0.9921875,0.005502650229289377,0.0,0.0419199894517817,0.0078125
valid,44.0,,,,256,253,0.98828125,0.006726063141580034,0.0,0.0,0.01171875
valid,64.0,,,,256,247,0.96484375,0.01151091331457645,0.0,0.05874925102240875,0.01953125
invalid,2.0,,,,256,13,0.05078125,0.013721919430074605,8.0,1.0946543584888735,0.015625
invalid,5.0,,,,256,18,0.0703125,0.01597955876167341,4.0,1.3769957596976512,0.01171875
invalid,9.0,,,,256,32,0.125,0.020669932117692115,6.5,0.9779648518409603,0.01171875
invalid,14.0,,,,256,87,0.33984375,0.02960349797122915,2.0,0.5651112741321598,0.01171875
invalid,20.0,,,,256,161,0.62890625,0.030193592728252786,1.0,0.3370378756680488,0.015625
invalid,30.0,,,,256,242,0.9453125,0.014210578330913328,0.0,0.08989971830979238,0.015625
invalid,44.0,,,,256,252,0.984375,0.007751224544134543,0.0,0.034642891747203204,0.015625
invalid,64.0,,,,256,242,0.9453125,0.014210578330913328,0.0,0.10479970975032797,0.015625
