condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,400,7,0.0175,0.006556247020971678,8.0,1.5696364872501356,0.0025
valid,5.0,,,,400,26,0.065,0.01232629303562105,8.5,0.9806664293682511,0.0
valid,9.0,,,,400,88,0.22,0.02071231517720798,7.0,0.44331387614525003,0.0
valid,14.0,,,,400,218,0.545,0.024898544134145675,5.0,0.3030045957203509,0.0
valid,20.0,,,,400,311,0.7775,0.020796258677944938,3.0,0.1823665951923886,0.0025
valid,30.0,,,,400,339,0.8475,0.01797524339195439,2.0,0.18101750571709227,0.0
valid,44.0,,,,400,345,0.8625,0.017218721642444885,2.0,0.19120027832783956,0.0
valid,64.0,,,,400,330,0.825,0.018998355191963332,2.0,0.1481836675566973,0.0
invalid,2.0,,,,400,11,0.0275,0.008176758220713145,10.0,1.7224580584538234,0.0
invalid,5.0,,,,400,19,0.0475,0.010635289135702893,10.0,0.9797951965367605,0.0
invalid,9.0,,,,400,95,0.2375,0.0212775556631865,8.0,0.47202111650931844,0.0
invalid,14.0,,,,400,207,0.5175,0.024984682807672385,5.0,0.29373567798138955,0.0
invalid,20.0,,,,400,288,0.72,0.02244994432064365,3.0,0.2071521678505798,0.0
invalid,30.0,,,,400,333,0.8325,0.018671083926756902,2.0,0.17361016379909036,0.0
invalid,44.0,,,,400,329,0.8225,0.019104564245226847,2.0,0.1844475255983329,0.0
invalid,64.0,,,,400,332,0.83,0.018781639970992952,2.0,0.1666567308392156,0.0
