mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
,,blue,1,256,65,0.25390625,0.02720278781460596,6.0,0.4930369639923779,0.0
,,green,3,256,124,0.484375,0.031234737483827102,8.0,0.37880907241371553,0.0
,,red,5,256,112,0.4375,0.031004898176538172,8.0,0.42719938333790475,0.0
