model,role,dose,condition,response_rate,mean_rt,dprime,criterion,achieved_change_mass_t5,achieved_change_mass_t6
vda4_affine_ew_grid2x2_seed0,change,0.0,valid,1.0,5.004,4.6092245632990565,-0.5748085003775558,0.25688713788986206,0.5048639178276062
vda4_affine_ew_grid2x2_seed0,change,0.0,invalid,0.904,5.517699115044247,3.025096924965748,0.21725531878909843,0.25688713788986206,0.5048639178276062
vda4_affine_ew_grid2x2_seed0,change,0.0,nochange,0.04,5.5,,,0.25688713788986206,0.5048639178276062
vda4_affine_ew_grid2x2_seed0,change,0.25,valid,1.0,5.004,4.6092245632990565,-0.5748085003775558,0.5390722751617432,0.5745133757591248
vda4_affine_ew_grid2x2_seed0,change,0.25,invalid,0.988,5.202429149797571,3.92865580096013,-0.23452411920809246,0.5390722751617432,0.5745133757591248
vda4_affine_ew_grid2x2_seed0,change,0.25,nochange,0.04,5.5,,,0.5390722751617432,0.5745133757591248
vda4_affine_ew_grid2x2_seed0,change,0.5,valid,1.0,5.004,4.6092245632990565,-0.5748085003775558,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,change,0.5,invalid,0.992,5.056451612903226,4.057649099168117,-0.2990207683120858,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,change,0.5,nochange,0.04,5.5,,,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,change,0.75,valid,1.0,5.012,4.761973890678176,-0.49843383668799623,0.8549487590789795,0.7864149808883667
vda4_affine_ew_grid2x2_seed0,change,0.75,invalid,0.996,5.036144578313253,4.396105828367245,-0.3154998055325312,0.8549487590789795,0.7864149808883667
vda4_affine_ew_grid2x2_seed0,change,0.75,nochange,0.028,5.285714285714286,,,0.8549487590789795,0.7864149808883667
vda4_affine_ew_grid2x2_seed0,change,1.0,valid,0.996,5.088353413654619,4.712404739404311,-0.15735035001399833,0.9127737283706665,0.8939295411109924
vda4_affine_ew_grid2x2_seed0,change,1.0,invalid,0.996,5.036144578313253,4.712404739404311,-0.15735035001399833,0.9127737283706665,0.8939295411109924
vda4_affine_ew_grid2x2_seed0,change,1.0,nochange,0.012,5.666666666666667,,,0.9127737283706665,0.8939295411109924
vda4_affine_ew_grid2x2_seed0,cued,0.0,valid,0.98,5.171428571428572,4.1143137639956215,0.0413932789335143,0.7861784100532532,0.7084052562713623
vda4_affine_ew_grid2x2_seed0,cued,0.0,invalid,0.996,5.052208835341365,4.612102880647479,-0.20750127939241447,0.7861784100532532,0.7084052562713623
vda4_affine_ew_grid2x2_seed0,cued,0.0,nochange,0.016,5.5,,,0.7861784100532532,0.7084052562713623
vda4_affine_ew_grid2x2_seed0,cued,0.25,valid,1.0,5.024,4.655637455228613,-0.5516020544127779,0.7834450602531433,0.7061694860458374
vda4_affine_ew_grid2x2_seed0,cued,0.25,invalid,0.996,5.052208835341365,4.289769392917682,-0.36866802325731285,0.7834450602531433,0.7061694860458374
vda4_affine_ew_grid2x2_seed0,cued,0.25,nochange,0.036,5.444444444444445,,,0.7834450602531433,0.7061694860458374
vda4_affine_ew_grid2x2_seed0,cued,0.5,valid,1.0,5.004,4.6092245632990565,-0.5748085003775558,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,cued,0.5,invalid,0.992,5.056451612903226,4.057649099168117,-0.2990207683120858,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,cued,0.5,nochange,0.04,5.5,,,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,cued,0.75,valid,1.0,5.004,4.526208952802168,-0.6163163056259998,0.5951324701309204,0.5978497266769409
vda4_affine_ew_grid2x2_seed0,cued,0.75,invalid,0.988,5.153846153846154,3.845640190463242,-0.27603192445653646,0.5951324701309204,0.5978497266769409
vda4_affine_ew_grid2x2_seed0,cued,0.75,nochange,0.048,5.5,,,0.5951324701309204,0.5978497266769409
vda4_affine_ew_grid2x2_seed0,cued,1.0,valid,1.0,5.004,4.566264190629322,-0.5962886867124229,0.3161247968673706,0.5083511471748352
vda4_affine_ew_grid2x2_seed0,cued,1.0,invalid,0.916,5.4104803493449785,3.054834894918849,0.15942596114281393,0.3161247968673706,0.5083511471748352
vda4_affine_ew_grid2x2_seed0,cued,1.0,nochange,0.044,5.545454545454546,,,0.3161247968673706,0.5083511471748352
vda4_affine_ew_grid2x2_seed0,control,0.0,valid,1.0,5.004,4.526208952802168,-0.6163163056259998,0.7689146995544434,0.6978451013565063
vda4_affine_ew_grid2x2_seed0,control,0.0,invalid,0.996,5.056224899598393,4.160340890491239,-0.4333822744705348,0.7689146995544434,0.6978451013565063
vda4_affine_ew_grid2x2_seed0,control,0.0,nochange,0.048,5.5,,,0.7689146995544434,0.6978451013565063
vda4_affine_ew_grid2x2_seed0,control,0.25,valid,1.0,5.004,4.526208952802168,-0.6163163056259998,0.7680413126945496,0.6970338821411133
vda4_affine_ew_grid2x2_seed0,control,0.25,invalid,0.996,5.056224899598393,4.160340890491239,-0.4333822744705348,0.7680413126945496,0.6970338821411133
vda4_affine_ew_grid2x2_seed0,control,0.25,nochange,0.048,5.5,,,0.7680413126945496,0.6970338821411133
vda4_affine_ew_grid2x2_seed0,control,0.5,valid,1.0,5.004,4.6092245632990565,-0.5748085003775558,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,control,0.5,invalid,0.992,5.056451612903226,4.057649099168117,-0.2990207683120858,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,control,0.5,nochange,0.04,5.5,,,0.7543712854385376,0.6845018267631531
vda4_affine_ew_grid2x2_seed0,control,0.75,valid,1.0,5.012,4.6092245632990565,-0.5748085003775558,0.6668921709060669,0.6225078701972961
vda4_affine_ew_grid2x2_seed0,control,0.75,invalid,0.988,5.105263157894737,3.92865580096013,-0.23452411920809246,0.6668921709060669,0.6225078701972961
