metric,model,condition,logical_index,mean,standard_error,trials
memory_mass,high_decay,forced_invalid,1,0.04687403981,9.313225746e-10,4
memory_mass,high_decay,forced_invalid,2,0.999337852,0,4
memory_mass,high_decay,forced_invalid,3,0.9821445048,0.005086421764,4
memory_mass,high_decay,forced_invalid,4,0.9927328229,0.002397894471,4
memory_mass,high_decay,forced_invalid,5,0.9934679121,0.0001665800739,4
memory_mass,high_decay,forced_invalid,6,0.9949914515,0.001849230038,4
peak_key_mass,standard,valid,0,0.2499212176,0,4
peak_key_mass,standard,valid,1,0.826585412,0,4
peak_key_mass,standard,valid,2,0.8970974684,0,4
peak_key_mass,standard,valid,3,0.2328443974,0.001559601573,4
peak_key_mass,standard,valid,4,0.3334471956,0.007390672697,4
peak_key_mass,standard,valid,5,0.3533941954,0.02827749729,4
peak_key_mass,standard,valid,6,0.6146946177,0.1194031877,4
peak_key_mass,standard,forced_invalid,0,0.2499212176,0,4
peak_key_mass,standard,forced_invalid,1,0.826585412,0,4
peak_key_mass,standard,forced_invalid,2,0.8970974684,0,4
peak_key_mass,standard,forced_invalid,3,0.2328443974,0.001559601573,4
peak_key_mass,standard,forced_invalid,4,0.3334471956,0.007390672697,4
peak_key_mass,standard,forced_invalid,5,0.3499472961,0.02631823226,4
peak_key_mass,standard,forced_invalid,6,0.5654572919,0.08922055405,4
peak_key_mass,high_decay,valid,0,0.2499415576,0,4
peak_key_mass,high_decay,valid,1,0.9527673721,0,4
peak_key_mass,high_decay,valid,2,0.2591585517,0,4
peak_key_mass,high_decay,valid,3,0.2957176566,0.003921351212,4
peak_key_mass,high_decay,valid,4,0.3370889127,0.01967682279,4
peak_key_mass,high_decay,valid,5,0.352189064,0.01698242664,4
peak_key_mass,high_decay,valid,6,0.7323087752,0.1424085678,4
peak_key_mass,high_decay,forced_invalid,0,0.2499415576,0,4
peak_key_mass,high_decay,forced_invalid,1,0.9527673721,0,4
peak_key_mass,high_decay,forced_invalid,2,0.2591585517,0,4
peak_key_mass,high_decay,forced_invalid,3,0.2957176566,0.003921351212,4
peak_key_mass,high_decay,forced_invalid,4,0.3370889127,0.01967682279,4
peak_key_mass,high_decay,forced_invalid,5,0.3682487085,0.01694341694,4
peak_key_mass,high_decay,forced_invalid,6,0.5823405385,0.1014626078,4
