label,feedback,grid,n_tokens,seed,condition,window,trial,target_quadrant,cue_quadrant,target_total_quadrant_mass,cue_total_quadrant_mass,target_mean_patch_mass,cue_mean_patch_mass,target_peak_patch_raw,cue_peak_patch_raw,target_peak_patch_uniform_ratio,cue_peak_patch_uniform_ratio,target_peak_patch_quadrant_share,cue_peak_patch_quadrant_share,target_within_quadrant_peak_ratio,cue_within_quadrant_peak_ratio,target_minus_cue_total_mass,target_minus_other_total_mass,target_minus_cue_peak_share,target_minus_other_peak_share,target_argmax_total,target_argmax_peak
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,0,0,0,0.670491193421185,0.670491193421185,0.0268196477368474,0.0268196477368474,0.339487224817276,0.339487224817276,33.9487224817276,33.9487224817276,0.9393835833601767,0.9393835833601767,12.658153759076258,12.658153759076258,0.0,0.5606549277630014,0.0,0.9191781111469023,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,1,0,0,0.5006758207455277,0.5006758207455277,0.02002703282982111,0.02002703282982111,0.09913024306297302,0.09913024306297302,9.913024306297302,9.913024306297302,0.7970098404241459,0.7970098404241459,4.949821768672783,4.949821768672783,0.0,0.33423443064869696,0.0,0.7293464538988612,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,2,0,0,0.8296117868740112,0.8296117868740112,0.033184471474960446,0.033184471474960446,0.5197211503982544,0.5197211503982544,51.97211503982544,51.97211503982544,0.9837831208025596,0.9837831208025596,15.661576855018266,15.661576855018266,0.0,0.7728157069456453,0.0,0.9783774944034128,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,3,0,0,0.8597163051599637,0.8597163051599637,0.03438865220639855,0.03438865220639855,0.45318111777305603,0.45318111777305603,45.3181117773056,45.3181117773056,0.9844986164713084,0.9844986164713084,13.178216902863515,13.178216902863515,0.0,0.8129550746137587,0.0,0.9793314886284112,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,4,0,0,0.7734588109888136,0.7734588109888136,0.030938352439552546,0.030938352439552546,0.5582109093666077,0.5582109093666077,55.82109093666077,55.82109093666077,0.980191463617042,0.980191463617042,18.04268376789753,18.04268376789753,0.0,0.6979450877018584,0.0,0.973588618156056,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,5,0,0,0.8794560426613316,0.8794560426613316,0.03517824170645326,0.03517824170645326,0.4343220889568329,0.4343220889568329,43.43220889568329,43.43220889568329,0.9818261893843565,0.9818261893843565,12.346327385577057,12.346327385577057,0.0,0.8392747190858548,0.0,0.9757682525124753,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,6,0,0,0.6087521978188306,0.6087521978188306,0.024350087912753223,0.024350087912753223,0.19572950899600983,0.19572950899600983,19.572950899600983,19.572950899600983,0.8098170250638057,0.8098170250638057,8.038143833291771,8.038143833291771,0.0,0.4783362650390094,0.0,0.7464227000850743,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,7,0,0,0.7399811169598252,0.7399811169598252,0.029599244678393005,0.029599244678393005,0.4224782884120941,0.4224782884120941,42.24782884120941,42.24782884120941,0.9580619726827495,0.9580619726827495,14.273279369202848,14.273279369202848,0.0,0.6533081592448676,0.0,0.944082630243666,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,8,0,0,0.7380781879182905,0.7380781879182905,0.02952312751673162,0.02952312751673162,0.3546869158744812,0.3546869158744812,35.46869158744812,35.46869158744812,0.9467846916969758,0.9467846916969758,12.01386660926996,12.01386660926996,0.0,0.6507709149736911,0.0,0.9290462555959677,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,9,0,0,0.7270944833289832,0.7270944833289832,0.029083779333159327,0.029083779333159327,0.3236514925956726,0.3236514925956726,32.36514925956726,32.36514925956726,0.9607968330582671,0.9607968330582671,11.128247429200764,11.128247429200764,0.0,0.6361259772675112,0.0,0.9477291107443562,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,10,0,0,0.7773689822060987,0.7773689822060987,0.03109475928824395,0.03109475928824395,0.3660128712654114,0.3660128712654114,36.60128712654114,36.60128712654114,0.9705090821856958,0.9705090821856958,11.770886144270314,11.770886144270314,0.0,0.7031586490338668,0.0,0.9606787762475943,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,11,0,0,0.8311470029875636,0.8311470029875636,0.033245880119502545,0.033245880119502545,0.5304030776023865,0.5304030776023865,53.04030776023865,53.04030776023865,0.9789921687390623,0.9789921687390623,15.953949051607266,15.953949051607266,0.0,0.7748626804095693,0.0,0.9719895583187497,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,12,0,0,0.7822173798922449,0.7822173798922449,0.031288695195689796,0.031288695195689796,0.4799904227256775,0.4799904227256775,47.99904227256775,47.99904227256775,0.9779945223168591,0.9779945223168591,15.340697965308538,15.340697965308538,0.0,0.7096231808730712,0.0,0.9706593630891455,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,13,0,0,0.6946553750894964,0.6946553750894964,0.027786215003579855,0.027786215003579855,0.2546162009239197,0.2546162009239197,25.461620092391968,25.461620092391968,0.944805433781466,0.944805433781466,9.163399940982103,9.163399940982103,0.0,0.5928738334526619,0.0,0.9264072450419546,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,14,0,0,0.783827917650342,0.783827917650342,0.03135311670601368,0.03135311670601368,0.5266557931900024,0.5266557931900024,52.665579319000244,52.665579319000244,0.9707206400959076,0.9707206400959076,16.797557899211572,16.797557899211572,0.0,0.7117705515702255,0.0,0.9609608534612102,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,15,0,0,0.6951895789243281,0.6951895789243281,0.027807583156973122,0.027807583156973122,0.2553011178970337,0.2553011178970337,25.53011178970337,25.53011178970337,0.9428395653081464,0.9428395653081464,9.180989101277344,9.180989101277344,0.0,0.5935861027877157,0.0,0.9237860870775285,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,16,0,0,0.7118545169942081,0.7118545169942081,0.028474180679768323,0.028474180679768323,0.4138205647468567,0.4138205647468567,41.38205647468567,41.38205647468567,0.9639330002592861,0.9639330002592861,14.533186025643484,14.533186025643484,0.0,0.6158060311960677,0.0,0.9519106670123815,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,17,0,0,0.7662113776896149,0.7662113776896149,0.030648455107584596,0.030648455107584596,0.4542943239212036,0.4542943239212036,45.42943239212036,45.42943239212036,0.9631056357170916,0.9631056357170916,14.822747910995979,14.822747910995979,0.0,0.6882818293718932,0.0,0.9508075142894555,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,18,0,0,0.8049987216945738,0.8049987216945738,0.03219994886778295,0.03219994886778295,0.6560586094856262,0.6560586094856262,65.60586094856262,65.60586094856262,0.9818262533745956,0.9818262533745956,20.374523331682468,20.374523331682468,0.0,0.7399982895779734,0.0,0.9757683378327942,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,19,0,0,0.7015891370829195,0.7015891370829195,0.028063565483316778,0.028063565483316778,0.3984975814819336,0.3984975814819336,39.84975814819336,39.84975814819336,0.9531889256490897,0.9531889256490897,14.199820109060353,14.199820109060353,0.0,0.6021188551870486,0.0,0.9375852341987864,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,20,0,0,0.8350160468835384,0.8350160468835384,0.03340064187534154,0.03340064187534154,0.436289519071579,0.436289519071579,43.6289519071579,43.6289519071579,0.9733881080974696,0.9733881080974696,13.062309422073577,13.062309422073577,0.0,0.7800213916925713,0.0,0.9645174774632927,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,21,0,0,0.657018365804106,0.657018365804106,0.02628073463216424,0.02628073463216424,0.2018703818321228,0.2018703818321228,20.18703818321228,20.18703818321228,0.9062088117517404,0.9062088117517404,7.681306655144237,7.681306655144237,0.0,0.5426911553756023,0.0,0.8749450823356539,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,22,0,0,0.8355753574287519,0.8355753574287519,0.033423014297150076,0.033423014297150076,0.28139403462409973,0.28139403462409973,28.139403462409973,28.139403462409973,0.9639262840756029,0.9639262840756029,8.419169860693676,8.419169860693676,0.0,0.7807671512806943,0.0,0.9519017121008039,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,23,0,0,0.7566173176746815,0.7566173176746815,0.030264692706987263,0.030264692706987263,0.47557923197746277,0.47557923197746277,47.55792319774628,47.55792319774628,0.9722646599970338,0.9722646599970338,15.713995069497765,15.713995069497765,0.0,0.6754897542802306,0.0,0.9630195466627117,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,24,0,0,0.7694872980937362,0.7694872980937362,0.030779491923749448,0.030779491923749448,0.3189837634563446,0.3189837634563446,31.89837634563446,31.89837634563446,0.9641459657711894,0.9641459657711894,10.363516208992937,10.363516208992937,0.0,0.6926497279976805,0.0,0.9521946210282525,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,25,0,0,0.7549333886709064,0.7549333886709064,0.030197335546836256,0.030197335546836256,0.45487695932388306,0.45487695932388306,45.487695932388306,45.487695932388306,0.9703066077963768,0.9703066077963768,15.063479975521881,15.063479975521881,0.0,0.6732445147354156,0.0,0.960408810395169,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,26,0,0,0.6086565980222076,0.6086565980222076,0.024346263920888303,0.024346263920888303,0.268972784280777,0.268972784280777,26.897278428077698,26.897278428077698,0.9287203898700143,0.9287203898700143,11.047805328767797,11.047805328767797,0.0,0.4782088023299972,0.0,0.9049605198266857,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,27,0,0,0.6383453076705337,0.6383453076705337,0.025533812306821346,0.025533812306821346,0.17274397611618042,0.17274397611618042,17.274397611618042,17.274397611618042,0.8906393746994558,0.8906393746994558,6.7653029653559384,6.7653029653559384,0.0,0.5177937420473123,0.0,0.8541858329326076,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,28,0,0,0.5886209814343601,0.5886209814343601,0.023544839257374404,0.023544839257374404,0.15794022381305695,0.15794022381305695,15.794022381305695,15.794022381305695,0.8860450332989289,0.8860450332989289,6.708061248011663,6.708061248011663,0.0,0.45149464354229474,0.0,0.8480600443985719,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,29,0,0,0.539654073305428,0.539654073305428,0.021586162932217122,0.021586162932217122,0.1646404266357422,0.1646404266357422,16.46404266357422,16.46404266357422,0.6701883390971863,0.6701883390971863,7.6271279501007605,7.6271279501007605,0.0,0.38620543371265137,0.0,0.5602511187962484,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,30,0,0,0.8198463410371915,0.8198463410371915,0.03279385364148766,0.03279385364148766,0.6903343200683594,0.6903343200683594,69.03343200683594,69.03343200683594,0.9874984487339881,0.9874984487339881,21.050722724303867,21.050722724303867,0.0,0.7597951303469017,0.0,0.9833312649786508,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,31,0,0,0.5957808983512223,0.5957808983512223,0.02383123593404889,0.02383123593404889,0.20216919481754303,0.20216919481754303,20.216919481754303,20.216919481754303,0.9080736802451608,0.9080736802451608,8.483370118823492,8.483370118823492,0.0,0.4610411989269778,0.0,0.8774315736602144,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,32,0,0,0.8104842931497842,0.8104842931497842,0.03241937172599137,0.03241937172599137,0.4136032462120056,0.4136032462120056,41.36032462120056,41.36032462120056,0.9677885939758147,0.9677885939758147,12.75790443157818,12.75790443157818,0.0,0.7473123913320402,0.0,0.9570514586344196,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,33,0,0,0.42692038463428617,0.42692038463428617,0.017076815385371445,0.017076815385371445,0.07947923988103867,0.07947923988103867,7.947923988103867,7.947923988103867,0.6225822073202597,0.6225822073202597,4.654219073488559,4.654219073488559,0.0,0.23589384532533586,0.0,0.49677627642701294,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,34,0,0,0.5860373992472887,0.5860373992472887,0.02344149596989155,0.02344149596989155,0.1385788768529892,0.1385788768529892,13.85788768529892,13.85788768529892,0.8628597425895376,0.8628597425895376,5.911690833681479,5.911690833681479,0.0,0.4480498656630516,0.0,0.8171463234527168,1,1
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,35,0,0,0.7691330756060779,0.7691330756060779,0.030765323024243115,0.030765323024243115,0.5297325849533081,0.5297325849533081,52.97325849533081,52.97325849533081,0.9791439346314336,0.9791439346314336,17.218495789427536,17.218495789427536,0.0,0.692177441281577,0.0,0.9721919128419114,1,1
