feedback,seed,condition,window,from_n_tokens,to_n_tokens,contrast,metric,n_paired_trials,mean_difference,ci95_low,ci95_high,interval_unit,interval_method
affine_ew,0,invalid,frame5,16,100,100-16,target_within_quadrant_peak_ratio,128,8.757621076467426,7.91874737801245,9.610473023633201,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,cue_within_quadrant_peak_ratio,128,1.5280117378312,1.1551109617824276,1.9233869212063508,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,target_minus_cue_total_mass,128,-0.30432581887271226,-0.3423858525641208,-0.26456876573902266,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,target_minus_other_total_mass,128,-0.3326533887097109,-0.363270853954278,-0.3017236274509704,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,target_minus_cue_peak_share,128,-0.004516589352623258,-0.05870481869392081,0.050814989224468796,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,target_minus_other_peak_share,128,-0.013976360543990825,-0.055064222223250914,0.027754351004994245,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,target_argmax_total,128,0.0,-0.0390625,0.0390625,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,16,100,100-16,target_argmax_peak,128,0.0234375,-0.015625,0.0625,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_total_quadrant_mass,128,-0.24911747012629348,-0.27422019914320117,-0.22446446145274876,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,cue_total_quadrant_mass,128,0.12397381086657333,0.10970881519432396,0.13784264784993638,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_mean_patch_mass,128,-0.7367677165107307,-0.7537907476906704,-0.7185036928777245,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,cue_mean_patch_mass,128,-0.07636250196739638,-0.09018125662248894,-0.06412185575117654,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_peak_patch_raw,128,-0.5095711554677109,-0.5386650641617962,-0.4805613983306103,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,cue_peak_patch_raw,128,-0.053017790163721656,-0.06779848430333005,-0.039920644148423896,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_peak_patch_uniform_ratio,128,21.7231862237968,19.156550060992593,24.386087935537944,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,cue_peak_patch_uniform_ratio,128,2.830366423833766,2.3762434355743607,3.2979455736436645,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_peak_patch_quadrant_share,128,0.010570264433460633,-0.02283879738006148,0.042245474745114135,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,cue_peak_patch_quadrant_share,128,0.05592201686865883,0.03332517012882449,0.08012676837532244,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
