label,feedback,grid,n_tokens,seed,condition,window,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_peak_patch_quadrant_share,128,0.7588355911564868,0.7219906778900165,0.7938110855388282,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,cue_peak_patch_quadrant_share,128,0.118644464664528,0.10077694452612251,0.13788431863311873,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_within_quadrant_peak_ratio,128,13.879603519987741,12.919358367971196,14.831964795915784,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,cue_within_quadrant_peak_ratio,128,5.373104119098256,4.652280211359685,6.132476505241421,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_minus_cue_total_mass,128,0.3819207050539717,0.33550171412989016,0.4278888504272942,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_minus_other_total_mass,128,0.4378321790874603,0.39401545360616036,0.4811146247305705,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_minus_cue_peak_share,128,0.6401911264919589,0.5867049269941743,0.6897871529645206,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_minus_other_peak_share,128,0.6784474548753157,0.6298499933101552,0.7248383271446465,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_argmax_total,128,0.8828125,0.8203125,0.9375,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frame6,target_argmax_peak,128,0.921875,0.8748046875000002,0.9609375,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_total_quadrant_mass,128,0.5431715708409683,0.5279048981218665,0.5584332403976504,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,cue_total_quadrant_mass,128,0.20256854458978069,0.19412762340290896,0.21071092296812424,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_mean_patch_mass,128,0.021726862833638734,0.021127011587250253,0.022322441150908274,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,cue_mean_patch_mass,128,0.008102741783591227,0.00776821218233465,0.008448715567755585,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_peak_patch_raw,128,0.2999735462180979,0.2815070993258814,0.31786331858356787,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,cue_peak_patch_raw,128,0.03672574416214047,0.03151155904311054,0.04216689411732658,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_peak_patch_uniform_ratio,128,29.99735462180979,28.220740637252675,31.807768310045503,held-out trials,percentile bootstrap (10000 draws)
