condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,128,7,0.0546875,0.02009679260474285,7.0,1.780167985870368,0.015625
valid,5.0,,,,128,10,0.078125,0.02372062070603734,2.5,0.9345281174498398,0.015625
valid,9.0,,,,128,36,0.28125,0.039740214744874616,2.5,0.603301207224528,0.0
valid,14.0,,,,128,74,0.578125,0.04365136062231838,2.0,0.4844313278008012,0.015625
valid,20.0,,,,128,110,0.859375,0.03072682172373491,1.0,0.16149978671193232,0.03125
valid,30.0,,,,128,120,0.9375,0.02139541240254555,0.0,0.06172228463156042,0.0234375
valid,44.0,,,,128,127,0.9921875,0.007781922583256459,0.0,0.1153717225704694,0.0078125
valid,64.0,,,,128,120,0.9375,0.02139541240254555,0.0,0.09317676636797977,0.015625
invalid,2.0,,,,128,3,0.0234375,0.01337213275159097,2.0,2.1302003575822166,0.015625
invalid,5.0,,,,128,6,0.046875,0.018682740693075187,9.0,1.0409294605301955,0.015625
invalid,9.0,,,,128,30,0.234375,0.037441971704454714,3.5,0.7229496008573348,0.0078125
invalid,14.0,,,,128,61,0.4765625,0.0441455939542801,2.0,0.3137188430449995,0.0
invalid,20.0,,,,128,105,0.8203125,0.033934668659949326,1.0,0.25039189887140484,0.0
invalid,30.0,,,,128,122,0.953125,0.018682740693075187,0.0,0.06376233344954821,0.0078125
invalid,44.0,,,,128,124,0.96875,0.015378921628929319,0.0,0.03996790372328274,0.015625
invalid,64.0,,,,128,121,0.9453125,0.02009679260474285,0.0,0.14344226230274548,0.015625
