mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
,,blue,1,128,83,0.6484375,0.042201739133460744,2.0,0.37071866666828507,0.0
,,green,3,128,73,0.5703125,0.043755013314882525,2.0,0.42628129389031066,0.015625
,,red,5,128,80,0.625,0.0427908248050911,2.0,0.32629453511667633,0.0078125
