model,displayed_validity,magnitude,condition,response_count,response_rate,mean_rt,false_alarm_rate,dprime,criterion
vda_fixed9_crossattn1_seed0,0.75,3.0,valid,8,0.02666666666666667,6.0,0.02666666666666667,0.0,1.9073258458215374
vda_fixed9_crossattn1_seed0,0.75,3.0,invalid,5,0.016666666666666666,6.0,0.02666666666666667,-0.1834869289755927,1.9990693103093338
vda_fixed9_crossattn1_seed0,0.75,6.0,valid,20,0.06666666666666667,6.0,0.02666666666666667,0.41728168415180766,1.6986850037456336
vda_fixed9_crossattn1_seed0,0.75,6.0,invalid,17,0.056666666666666664,5.9411764705882355,0.02666666666666667,0.3367408172541182,1.7389554371944782
vda_fixed9_crossattn1_seed0,0.75,9.0,valid,38,0.12666666666666668,6.0,0.02666666666666667,0.7709850265661471,1.5218333325384639
vda_fixed9_crossattn1_seed0,0.75,9.0,invalid,16,0.05333333333333334,6.0,0.02666666666666667,0.3074879588801225,1.7535818663814762
vda_fixed9_crossattn1_seed0,0.75,12.0,valid,51,0.17,6.0,0.02666666666666667,0.9574841404448076,1.4285837755991335
vda_fixed9_crossattn1_seed0,0.75,12.0,invalid,30,0.1,6.0,0.02666666666666667,0.6333100192954129,1.5906708361738309
vda_fixed9_crossattn1_seed0,0.75,15.0,valid,96,0.32,6.0,0.02666666666666667,1.4412986207887766,1.1866765354271491
vda_fixed9_crossattn1_seed0,0.75,15.0,invalid,76,0.25333333333333335,5.9868421052631575,0.02666666666666667,1.2458475792469248,1.2844020561980751
vda_fixed9_crossattn1_seed0,0.75,18.0,valid,124,0.41333333333333333,6.0,0.02666666666666667,1.6890863647330816,1.0627826634549966
vda_fixed9_crossattn1_seed0,0.75,18.0,invalid,102,0.34,6.0,0.02666666666666667,1.496313010300483,1.159169340671296
vda_fixed9_crossattn1_seed0,0.75,22.0,valid,202,0.6733333333333333,6.0,0.02666666666666667,2.3548660726876034,0.7298928094777357
vda_fixed9_crossattn1_seed0,0.75,22.0,invalid,146,0.4866666666666667,6.0,0.02666666666666667,1.8740090084221055,0.9703213416104847
vda_fixed9_crossattn1_seed0,0.75,26.0,valid,260,0.8666666666666667,6.0,0.02666666666666667,3.0124564758390355,0.40109760790201965
vda_fixed9_crossattn1_seed0,0.75,26.0,invalid,214,0.7133333333333334,6.0,0.02666666666666667,2.4683943611144605,0.6731286652643071
vda_fixed9_crossattn1_seed0,0.75,30.0,valid,284,0.9466666666666667,6.0,0.02666666666666667,3.507163732762953,0.15374397944006102
vda_fixed9_crossattn1_seed0,0.75,30.0,invalid,258,0.86,6.0,0.02666666666666667,2.9822872096741184,0.4161822409844783
vda_fixed9_crossattn1_seed0,1.0,0.0,valid,8,0.02666666666666667,6.0,0.03,-0.04900118318807056,1.8828252542275021
vda_fixed9_crossattn1_seed0,1.0,0.0,invalid,7,0.023333333333333334,6.0,0.03,-0.10306240842315773,1.9098558668450458
vda_fixed9_crossattn1_seed0,1.0,3.0,valid,10,0.03333333333333333,6.0,0.03,0.044907093959432265,1.8358711156537506
vda_fixed9_crossattn1_seed0,1.0,3.0,invalid,5,0.016666666666666666,6.0,0.03,-0.23248811216366327,1.9745687187152985
vda_fixed9_crossattn1_seed0,1.0,6.0,valid,15,0.05,6.0,0.03,0.22779704551292457,1.7444261398770045
vda_fixed9_crossattn1_seed0,1.0,6.0,invalid,14,0.04666666666666667,6.0,0.03,0.19548989469252565,1.760579715287204
vda_fixed9_crossattn1_seed0,1.0,9.0,valid,32,0.10666666666666667,6.0,0.03,0.6209468282145858,1.547851248526174
vda_fixed9_crossattn1_seed0,1.0,9.0,invalid,19,0.06333333333333334,6.0,0.03,0.3425174443494763,1.6870659404587287
vda_fixed9_crossattn1_seed0,1.0,12.0,valid,54,0.18,6.0,0.03,0.9470036267580005,1.3848228492544665
vda_fixed9_crossattn1_seed0,1.0,12.0,invalid,36,0.12,6.0,0.03,0.6896256426280714,1.5135118413194313
vda_fixed9_crossattn1_seed0,1.0,15.0,valid,90,0.3,6.0,0.03,1.3358342264905678,1.190407549388183
vda_fixed9_crossattn1_seed0,1.0,15.0,invalid,56,0.18666666666666668,6.0,0.03,0.9719492842376551,1.3723500205146393
vda_fixed9_crossattn1_seed0,1.0,18.0,valid,150,0.5,6.0,0.03,1.8583246626334669,0.9291623313167334
vda_fixed9_crossattn1_seed0,1.0,18.0,invalid,103,0.3433333333333333,6.0,0.03,1.456356750105456,1.1301462875807389
vda_fixed9_crossattn1_seed0,1.0,22.0,valid,204,0.68,6.0,0.03,2.3243518876662277,0.696148718800353
vda_fixed9_crossattn1_seed0,1.0,22.0,invalid,152,0.5066666666666667,6.0,0.03,1.8749807701136965,0.9208342775766186
vda_fixed9_crossattn1_seed0,1.0,26.0,valid,256,0.8533333333333334,6.0,0.03,2.90406471993208,0.40629230266742666
vda_fixed9_crossattn1_seed0,1.0,26.0,invalid,221,0.7366666666666667,6.0,0.03,2.4890208343925533,0.6138142454371902
vda_fixed9_crossattn1_seed0,1.0,30.0,valid,282,0.94,6.0,0.03,3.400942250818312,0.15785353722431084
vda_fixed9_crossattn1_seed0,1.0,30.0,invalid,271,0.9033333333333333,6.0,0.03,3.151318215182389,0.2826655550422723
