label,grid,n_tokens,seed,condition,window,source,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_raw_total_quadrant_mass,128,0.08298090476375819,0.08269986002560045,0.08326702856046139,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_raw_total_quadrant_mass,128,0.0853685547643579,0.08496903902631985,0.08577865189983953,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_raw_peak_patch,128,0.007528953872679267,0.0074944366039744635,0.007562587147822342,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_raw_peak_patch,128,0.006374192013026914,0.006348911502391275,0.0064006906024587805,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_raw_peak_patch_uniform_ratio,128,1.5057907745358534,1.4988760390951938,1.5124382794783742,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_raw_peak_patch_uniform_ratio,128,1.2748384026053827,1.2697460955860151,1.2800714436525595,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_conditional_total_quadrant_mass,128,0.24014949094626487,0.23949462789707598,0.24083464056599665,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_conditional_total_quadrant_mass,128,0.2470315996017533,0.2461892750650789,0.2479159157636278,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_conditional_peak_patch,128,0.021788786171353977,0.021700319637535898,0.021873951896965397,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_conditional_peak_patch,128,0.018445996984665675,0.018392105095976455,0.018505044648833957,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_conditional_peak_patch_uniform_ratio,128,2.1788786171353975,2.170281948406584,2.1873665314072563,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_conditional_peak_patch_uniform_ratio,128,1.8445996984665678,1.8392728766067896,1.8505126734425836,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_peak_patch_quadrant_share,128,0.27255444912576016,0.2720544891993212,0.27302233429847406,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_peak_patch_quadrant_share,128,0.2307884036148519,0.23012573035708075,0.23148275192889337,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_within_quadrant_peak_ratio,128,2.268874561736783,2.2572132686364834,2.280112179062444,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,cue_within_quadrant_peak_ratio,128,1.8673352616498977,1.8599268713543389,1.8743881523703982,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_minus_cue_raw_total_mass,128,-0.002387650000599706,-0.0028502961873357437,-0.0019510440284591368,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_minus_other_raw_total_mass,128,-0.0045475073215660205,-0.0048617644201326485,-0.0042403472685561385,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_minus_cue_raw_peak,128,0.0011547618596523535,0.0011260747317464847,0.0011820157793408725,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_minus_other_raw_peak,128,0.000830907544392782,0.0008114229008848876,0.0008484664239707247,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_minus_cue_peak_share,128,0.041766045510908276,0.04079357077703003,0.04271183047797956,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_minus_other_peak_share,128,0.030072598834346913,0.029398981606615006,0.03067731103031114,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_argmax_raw_total,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame5,visual,target_argmax_raw_peak,128,0.96875,0.9375,0.9921875,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,source_total_share,128,0.6664215819164383,0.6652956465344232,0.6675416579786543,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_raw_total_quadrant_mass,128,0.2190682832897437,0.2145839776046614,0.22372342812159332,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_raw_total_quadrant_mass,128,0.18031923207672662,0.17751335343355096,0.1833646226073597,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_raw_peak_patch,128,0.044395121389243286,0.041331805536174215,0.04754836625561438,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_raw_peak_patch,128,0.017745384273439413,0.01607084214929273,0.01975801345624859,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_raw_peak_patch_uniform_ratio,128,8.879024277848657,8.269794374027697,9.49770483381144,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_raw_peak_patch_uniform_ratio,128,3.5490768546878826,3.2111246729073173,3.944616908502212,held-out trials,percentile bootstrap (10000 draws)
